state,class,party,incfirst,inclast,pronounce,pronounceipa,firstelect,birthyr,gender,race,religion,lgbt,pre16inc,demS16,repS16,demlast,replast,clinton16,trump16,obama12,romney12,obama08,mccain08,cens10white,cens10black,cens10latino,cens10aapi,cens10native,cens10other,acs16ba,acs16barank,acs16whiteba,acs16whitebarank,medinc,incrank,popvote16,hrcvote16,djtvote16,popvote12,bhovote12,mrvote12,popvote08,bhovote08,jmvote08,popHvote16,demHvote16,repHvote16,otherHvote16,poplast,popDlast,popRlast,popOlast,pop,popWhite,popBlack,popLatino,popAAPI,popNative,popOther,vap,vapWhite,vapBlack,vapLatino,vapAAPI,vapNative,vapOther
New Hampshire,2016,Democratic,Maggie,Hassan,(MAG-ee HASS-uhn),/'mí_.gi 'hí_.sÄ»n/,2016,1958,Woman,White - Non-Hispanic,Christian - United Church of Christ,No,Defeated,48,47.8,36.8,60,46.8,46.5,52,46.4,54.1,44.5,93.6,0.9,2.2,2,0.2,1,36.6,7,36.5,16,70936,7,744296,348526,345790,710972,369561,329918,710970,384826,316534,739140,354649,353632,30859,455149,167545,273218,14386,1316470,1215050,13625,36704,28570,2693,19828,1029236,962931,9436,22934,21086,2124,10725
New York,2016,Democratic,Chuck,Schumer,(CHUHK SHOO-mer),/t_€_ëk '_€u.mÄ»Ä_/,1998,1950,Man,White - Non-Hispanic,Jewish,No,Re-elected,70.4,27.4,66.3,32.2,59,36.5,63.3,35.2,62.9,36,60.4,13.9,16.2,7.5,0.3,1.7,35.7,9,42.1,8,62909,14,7707363,4547562,2814589,7081536,4485877,2490496,7640948,4804945,2752771,6812037,4795288,1867035,149714,4595375,3047111,1479724,68540,19378074,11304236,2783852,3416915,1411512,53908,407651,15053150,9098285,2095443,2444396,1124261,39142,251623
North Carolina,2016,Republican,Richard,Burr,(RICH-erd BUR),/'Ä_ÄÈ.t_€Ä»Ä_d bÄìÄ_/,2004,1955,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,45.4,51.1,43,54.8,46.2,49.8,48.4,50.4,49.7,49.4,68.4,20.4,6.8,2.2,1.1,1.1,30.4,24,34.1,23,50584,39,4741564,2189316,2362631,4505372,2178391,2270395,4310789,2142651,2128474,4691133,2128165,2395376,167592,2660079,1145074,1458046,56959,9535483,6223995,2019854,800120,211838,108829,170847,7253848,4964325,1480769,492330,156328,79295,80801
North Dakota,2016,Republican,John,Hoeven,(JAHN HOH-vuhn),/d_ÍÄïn 'ho__.vÄ»n/,2010,1957,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,17,78.5,22.2,76.1,27.2,63,38.7,58.3,44.5,53.2,91,1,1.5,1.1,4.4,1,29.6,26,31,31,60656,17,344360,93758,216794,322627,124827,188163,317738,141403,168887,342501,58116,268788,15597,238812,52955,181689,4168,672591,598007,7720,13467,7129,35562,10706,522720,475686,5157,8064,5782,22786,5245
Ohio,2016,Republican,Rob,Portman,(RAHB PORT-min),/Ä_Äïb 'pÄîÄ_t.mÄÈn/,2010,1955,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,37.2,58,39.4,56.8,43.2,51.3,50.6,47.6,51.4,46.8,83.2,11.3,2.5,1.7,0.2,1.1,27.5,37,28.6,39,52334,34,5536528,2394164,2841005,5590934,2827709,2661437,5721831,2940044,2677820,5374164,1996908,3118567,258689,3815098,1503297,2168742,143059,11536504,9359263,1389115,354674,194165,20906,218381,8805753,7330425,993016,218924,147897,16698,98793
Oklahoma,2016,Republican,James,Lankford,(JAYMZ LAYNK-ferd),/d_ÍeÄÈmz 'leÄÈÅ†k.fÄ»Ä_d/,2014,1968,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,24.6,67.7,29,67.9,28.9,65.3,33.2,66.8,34.4,65.6,72.8,6.9,7.1,1.8,7.4,4,25.2,43,27.5,42,49176,42,1452992,420375,949136,1334872,443547,891325,1462661,502496,960165,1448047,355911,980892,111244,820890,237923,557002,25965,3751351,2575381,272071,332007,68131,308733,195028,2821685,2055504,195546,199457,51631,207883,111664
Oregon,2016,Democratic,Ron,Wyden,(RAHN WAHY-dn),/Ä_Äïn 'waÄÈ._în/,1996 Special,1949,Man,White - Non-Hispanic,Jewish,No,Re-elected,56.6,33.3,57.2,39.2,50.1,39.1,54.2,42.1,56.7,40.4,82.1,1.6,9.1,3.9,1.1,2.2,32.7,16,34.5,22,57532,21,2001336,1002106,782403,1789270,970488,754175,1827864,1037291,738475,1952477,1105119,651106,196252,1442588,825507,566199,50882,3831074,3005848,64984,450062,152133,42706,115341,2964621,2432835,46946,269748,117036,31862,66194
Pennsylvania,2016,Republican,Pat,Toomey,(PATT TOO-mee),/pí_t 'tu.mi/,2010,1961,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,47.3,48.9,49,51,47.5,48.2,52,46.6,54.5,44.2,81.8,9.7,4.6,2.7,0.1,1,30.8,22,32.2,27,56907,23,6166698,2926441,2970733,5754939,2990274,2680434,6015476,3276363,2655885,5904144,2790488,2886455,227201,3977661,1948716,2028945,0,12702379,10094652,1327091,719660,349003,16909,195064,9910224,8111276,963866,459421,266785,13163,95713
South Carolina,2016,Republican,Tim,Scott,(TIMM SKAHT),/tÄÈm skÄït/,2013 Appointment,1965,Man,Black - African-American,Christian - Evangelical Protestant,No,Re-elected,36.9,60.6,37.1,61.1,40.7,54.9,44.1,54.6,44.9,53.9,66.7,26.3,4.3,1.3,0.4,0.9,27.2,38,32,29,49501,41,2103027,855373,1155389,1964118,865941,1071645,1920969,862449,1034896,2049893,757022,1241609,51262,1238982,459583,757215,22184,4625364,2962740,1279998,235682,60420,16614,69910,3544890,2365767,932892,154176,46258,12613,33184
South Dakota,2016,Republican,John,Thune,(JAHN THOON),/d_ÍÄïn ‘Ÿun/,2004,1961,Man,White - Non-Hispanic,Christian - Evangelical Protestant,No,Re-elected,28.2,71.8,0,100,31.7,61.5,39.9,57.9,44.7,53.2,87.8,1,2.1,0.9,6.9,1.1,28.9,29,30.9,32,54467,29,370093,117458,227721,363815,145039,210610,381975,170924,203054,369619,104125,265494,0,227947,0,227947,0,814180,689502,9959,22119,7866,69476,15258,611383,537069,6377,12917,5759,42323,6938
Utah,2016,Republican,Mike,Lee,(MIKE LEE),/maÄÈk li/,2010,1971,Man,White - Non-Hispanic,Christian - Mormon,No,Re-elected,27.1,68.1,32.8,61.6,27.2,45.1,24.7,72.5,34.2,62.2,82.6,0.9,11.3,3,1,1.2,32.6,17,35.3,19,65977,11,1143601,310676,515231,1020861,251813,740600,958996,327670,596030,1115608,301860,760241,53507,633829,207685,390179,35965,2763878,2221712,25951,358340,78085,27081,52709,1892855,1563565,16407,214494,56477,18438,23474
