District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,2016 US House,,2014 US House,,2012 Two-Party,,2016 President,,2012 President,,2008 President,,2010 Census Adult Population by Race,,,,,,2016 American Community Survey Income and Education,,,,,,2013-2017 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Dem,Rep,Dem,Rep,Dem,Rep,Clinton,Trump,Obama,Romney,Obama,McCain,White,Black,Latino,Asian and Pacific Islander,Native,Other,Bachelor's Degree or Higher Among Age 25+,BA Rank,White BA,White Rank,Median Income (Household),Income Rank,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino, Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other
Missouri 5th,MO-05,Democratic,Emanuel,Cleaver,(ih-MAN-yoo-wuhl KLEE-ver),/ɪ.'mæn.ju.ˌwəl 'kli.vəɹ/,2004,1944,Man,Black - African-American,Christian - Methodist,No,Re-elected,58.8,38.2,51.6,45.0,62.1,37.9,54.1,40.6,58.9,39.4,62.0,36.8,69.0,20.2,6.8,1.8,0.4,1.6,28.2 ,230 ,32.5 ,228 ,"$48,693",329,,,,229,"328,803","177,772","133,458","338,346","199,298","133,185","370,231","229,496","136,071","324,270","190,766","123,771","9,733","153,635","79,256","69,071","5,308","200,290","122,149",,,,,"748,737","488,072","162,753","62,467","13,701","3,099","18,645","569,063","392,820","115,228","38,874","10,423","2,444","9,274"
Missouri 6th,MO-06,Republican,Sam,Graves,(SAM GRAYVZ),/sæm gɹeɪvz,2000,1963,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,28.4,68.0,29.5,66.7,33.3,66.7,31.7,63.1,37.9,60.0,43.1,55.3,91.2,3.6,2.7,1.2,0.3,1.0,28.6 ,226 ,29.0 ,282 ,"$58,532",193,,,,230,"354,014","112,056","223,375","341,953","129,610","205,283","359,371","154,736","198,560","350,444","99,692","238,388","12,364","186,970","55,157","124,616","7,197","108,503","216,906",,,,,"748,760","671,952","28,069","24,951","8,941","2,523","12,324","564,869","515,112","20,613","15,126","6,509","1,945","5,564"
Missouri 7th,MO-07,Republican,Billy,Long,(BILL-ee LAWNG),/'bɪ.li lɔŋg/,2010,1955,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,27.4,67.5,28.8,63.5,32.6,67.4,24.7,70.4,30.3,67.6,35.3,63.1,91.5,1.5,3.3,1.2,0.9,1.5,23.2 ,327 ,23.8 ,376 ,"$44,619",378,,,,231,"342,069","84,419","240,690","325,978","98,916","220,216","342,504","121,064","216,172","338,607","92,756","228,692","17,159","163,957","47,282","104,054","12,621","98,498","203,565",,,,,"748,406","671,805","11,760","32,310","9,506","6,987","16,038","571,140","522,790","8,487","19,015","6,980","5,101","8,767"
Missouri 8th,MO-08,Republican,Jason,Smith,(JAY-suhn SMITH),/'dʒeɪ.sən smɪθ/,2013 Special,1980,Man,White - Non-Hispanic,Christian - Pentecostal,No,Re-elected,22.7,74.4,24.3,66.7,25.4,74.6,21.0,75.4,32.0,65.9,38.3,60.0,92.6,4.1,1.3,0.6,0.4,1.0,15.0 ,424 ,15.3 ,434 ,"$40,639",414,4-Jun-13,27.4,67.1,232,"317,749","66,858","239,666","305,437","97,700","201,214","321,648","123,319","192,937","308,871","70,009","229,792","9,070","159,224","38,721","106,124","14,379","73,755","216,083","62,766","17,207","42,141","3,418","748,370","684,877","33,438","12,063","4,481","3,047","10,464","573,387","530,763","23,571","7,276","3,580","2,425","5,772"
Montana At-Large,MT-AL,Republican,Greg,Gianforte,(GREGG GEE-uhn-FOR-tay),/gɹɛg ˌgi.ən.'fɔɹ.teɪ/,2017 Special,1961,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,40.5,56.2,40.4,55.4,44.5,55.5,35.9,56.5,41.7,55.4,47.2,49.6,90.0,0.3,2.3,0.7,5.1,1.6,31.0 ,177 ,31.9 ,238 ,"$50,027",311,25-May-17,44.4,50.0,233,"494,525","177,709","279,240","483,932","201,839","267,928","491,767","232,159","243,882","507,831","205,919","285,358","16,554","367,963","148,690","203,871","15,402","204,939","255,468","381,516","169,214","190,620","21,682","989,415","868,628","3,743","28,565","6,747","59,902","21,830","765,852","689,188","2,617","17,420","5,302","38,949","12,376"
Nebraska 1st,NE-01,Republican,Jeff,Fortenberry,(JEFF FOR-tn-bare-ee),/dʒɛf 'fɔɹ.ʔn.ˌbɛ.ɹi/,2004,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,30.5,69.5,31.2,68.8,31.7,68.3,36.2,57.5,40.8,57.5,44.0,54.1,87.9,2.3,5.8,2.1,0.9,1.0,32.5 ,163 ,33.9 ,206 ,"$58,537",192,,,,234,"276,046","100,030","158,629","264,718","107,994","152,122","267,008","117,514","144,470","273,238","83,467","189,771",0,"179,057","55,838","123,219",0,"81,206","174,889",,,,,"608,065","516,832","14,907","45,360","12,787","6,909","11,270","458,727","403,070","10,348","26,641","9,555","4,348","4,765"
Nebraska 2nd,NE-02,Republican,Don,Bacon,(DAHN BAY-kuhn),/dɑn 'beɪ.kən/,2016,1963,Man,White - Non-Hispanic,Christian - Protestant,No,Defeated,47.7,48.9,49.0,45.7,49.2,50.8,46.0,48.2,45.7,52.8,49.8,48.6,78.3,9.2,8.2,2.5,0.4,1.3,39.2 ,85 ,43.7 ,100 ,"$62,621",150,,,,235,"285,211","131,102","137,506","266,720","121,971","140,880","267,039","133,016","129,890","288,308","137,602","141,066","9,640","171,050","83,872","78,157","9,021","129,767","133,964",,,,,"609,223","454,079","61,305","61,976","15,680","2,755","13,428","447,161","350,324","41,319","36,613","11,309","1,943","5,653"
Nebraska 3rd,NE-03,Republican,Adrian,Smith,(AY-dree-in SMITH),/'eɪ.ɾɹi.ɪn smɪθ/,2006,1970,Man,White - Non-Hispanic,Christian - Evangelical Free Church,No,Re-elected,0,100,24.6,75.4,25.8,74.2,20.0,74.9,27.8,70.2,31.0,66.9,89.7,0.7,7.6,0.7,0.7,0.6,22.2 ,348 ,23.9 ,375 ,"$50,985",289,,,,236,"266,918","53,362","199,826","259,224","72,116","182,062","266,981","82,789","178,619","226,720",0,"226,720",0,"184,964","45,524","139,440",0,"65,266","187,423",,,,,"609,053","528,842","4,747","60,069","4,418","5,133","5,844","461,232","413,562","3,314","34,967","3,239","3,346","2,804"
Nevada 1st,NV-01,Democratic,Dina,Titus,(DEE-nuh TIE-tus),/'di.nə 'taɪ.ɾəs/,"2012, 2008-2010",1950,Woman,White - Non-Hispanic,Christian - Orthodox,No,Re-elected,61.9,28.8,56.8,37.9,66.8,33.2,61.6,32.6,65.6,32.4,64.5,33.0,42.3,9.5,36.5,9.0,0.5,2.2,15.2 ,422 ,19.6 ,421 ,"$38,000",423,,,,237,"196,840","121,321","64,233","187,686","123,205","60,813","189,190","122,041","62,527","188,352","116,537","54,174","17,641","80,299","45,643","30,413","4,243","113,967","56,521",,,,,"674,442","246,051","63,635","287,756","55,478","3,099","18,423","509,371","215,645","48,217","185,912","46,076","2,538","10,983"
Nevada 2nd,NV-02,Republican,Mark,Amodei,(MARK AM-uh-day),/mɑɹk 'æ.mə.deɪ/,2011 Special,1958,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,36.9,58.3,27.9,65.7,38.6,61.4,39.7,52.0,44.8,52.9,49.4,48.2,73.8,1.7,16.6,4.3,1.8,1.8,25.5 ,282 ,28.9 ,284 ,"$58,214",194,,,,238,"326,011","129,318","169,631","293,476","131,542","155,187","285,982","141,357","137,916","313,336","115,722","182,676","14,938","186,210","52,016","122,402","11,792","102,019","162,213",,,,,"675,971","469,069","11,684","138,087","27,912","12,641","16,578","515,125","379,952","8,925","85,495","22,255","9,378","9,120"
Nevada 3rd,NV-03,Democratic,Jacky,Rosen,(JACK-ee ROH-zen),/'dʒæ.ki 'ɹoʊ.sən/,2016,1957,Woman,White - Non-Hispanic,Jewish,No,Open - Ran for Senate and lost,47.2,46.0,36.1,60.8,46.0,54.0,46.5,47.5,49.5,48.7,53.5,44.6,64.4,5.9,13.5,13.1,0.4,2.7,31.5 ,172 ,32.9 ,226 ,"$68,396",108,,,,239,"325,602","151,552","154,815","283,656","140,501","138,238","262,257","140,378","116,908","310,963","146,869","142,926","21,168","145,719","52,644","88,528","4,547","116,823","137,244",,,,,"675,469","412,783","41,181","105,955","86,223","2,751","26,576","521,733","335,885","30,810","70,493","68,194","2,170","14,181"
Nevada 4th,NV-04,Democratic,Ruben,Kihuen,(ROO-bin KEE-wen),/'ɹu.bɪn 'ki.wɪn/,2016,1980,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Defeated,48.5,44.5,45.8,48.5,54.3,45.7,49.5,44.6,54.4,43.7,56.4,41.4,54.7,13.2,23.0,6.0,0.8,2.3,20.4 ,380 ,24.6 ,362 ,"$55,712",221,,,,240,"276,932","137,070","123,380","250,100","136,124","109,330","230,420","129,961","95,477","265,846","128,985","118,328","18,533","130,781","59,844","63,466","7,471","120,501","101,261",,,,,"674,669","334,178","91,558","184,703","36,890","5,045","22,295","489,314","267,816","64,558","112,634","29,330","3,771","11,205"
New Hampshire 1st,NH-01,Democratic,Carol,Shea-Porter,(KAIR-ul shay POOR-ter),/'kɛ.ɹl ʃei 'pɔɹ.ɾɹ,2016,1952,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Defeated,45.8,44.4,48.1,51.7,52.0,48.0,46.6,48.2,50.2,48.6,52.8,46.4,93.7,1.0,2.2,1.9,0.2,1.0,37.2 ,105 ,37.4 ,167 ,"$71,277",85,,,,241,"371,973","173,344","179,259","356,812","179,148","173,419","353,603","186,598","163,977","353,451","161,828","157,011","34,612","242,736","116,769","125,508",459,"171,650","158,659",,,,,"658,233","607,603","7,643","18,305","13,357","1,176","10,149","514,495","481,892","5,135","11,377","9,906",916,"5,269"
New Hampshire 2nd,NH-02,Democratic,Annie,Kuster,(ANN-ee KUHS-ter),/'æ.ni 'kə.stəɹ/,2012,1956,Woman,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,49.8,45.4,54.9,44.9,52.5,47.5,48.6,46.2,54.2,44.5,56.0,43.1,93.5,0.8,2.2,2.2,0.2,1.1,35.9 ,122 ,35.6 ,186 ,"$70,524",92,,,,242,"360,294","175,182","166,531","351,587","190,413","156,499","354,008","198,228","152,557","350,189","174,386","158,960","16,843","238,149","130,679","106,857",613,"169,275","152,977",,,,,"658,237","607,447","5,982","18,399","15,213","1,517","9,679","514,741","481,039","4,301","11,557","11,180","1,208","5,456"
New Jersey 1st,NJ-01,Democratic,Donald,Norcross,(DAHN-uhld NOR-kraws),/'dɑ.nəld 'nɔɹ.kɹɔs/,2014 Special,1958,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,60.0,36.8,57.4,39.4,69.5,30.5,60.6,36.1,65.1,33.8,64.7,34.2,68.9,15.4,9.9,4.5,0.2,1.2,30.4 ,189 ,33.4 ,215 ,"$68,208",110,,,,243,"329,188","199,386","118,880","326,134","212,236","110,377","340,075","219,874","116,242","305,473","183,231","112,388","9,854","162,492","93,315","64,073","5,104","210,470","92,459",,,,,"731,714","480,423","119,179","84,785","32,984","1,128","13,215","556,968","383,899","85,825","54,875","24,852",854,"6,663"
New Jersey 2nd,NJ-02,Republican,Frank,LoBiondo,(FRAYNK low-bee-AHN-doh),/fɹeɪŋk ˌloʊ.bi.'ɑn.doʊ/,1994,1946,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,37.2,59.2,37.3,61.5,41.1,58.9,46.0,50.6,53.5,45.4,53.2,45.5,71.0,11.8,12.2,3.5,0.3,1.2,25.8 ,279 ,30.3 ,268 ,"$60,756",175,,,,244,"321,004","147,656","162,486","311,778","166,906","141,479","328,805","174,840","149,736","297,795","110,838","176,338","10,619","177,148","66,026","108,875","2,247","116,463","166,679",,,,,"732,326","495,309","90,019","105,485","26,175","2,089","13,249","564,025","400,427","66,558","68,994","19,629","1,642","6,775"
New Jersey 3rd,NJ-03,Republican,Tom,MacArthur,(TAHM muh-KAR-thur),/tɑm mə.kɑɹ.θəɹ/,2014,1960,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,38.9,59.3,44.4,54.0,45.5,54.5,45.2,51.4,51.8,47.2,51.1,47.7,80.0,9.8,5.6,3.2,0.1,1.4,33.9 ,146 ,34.2 ,199 ,"$74,537",72,,,,245,"365,240","165,090","187,703","345,812","179,028","163,203","367,978","188,210","175,525","328,060","127,526","194,596","5,938","186,103","82,537","100,471","3,095","145,509","174,257",,,,,"733,895","571,319","74,882","47,920","24,343",888,"14,543","571,390","457,098","55,799","31,913","18,146",691,"7,743"
New Jersey 4th,NJ-04,Republican,Chris,Smith,(KRISS SMITH),/kɹɪs smɪθ/,1980,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,33.5,63.7,31.1,68.0,35.6,64.4,41.0,55.8,44.7,54.2,45.3,53.6,80.5,6.2,8.5,3.8,0.1,0.9,39.6 ,83 ,42.1 ,120 ,"$78,511",57,,,,246,"356,583","146,191","198,859","332,612","148,622","180,439","355,041","160,660","190,307","332,684","111,532","211,992","9,160","174,849","54,415","118,826","1,608","108,097","195,186",,,,,"732,848","578,886","46,412","69,676","27,558",643,"9,673","547,849","440,802","34,160","46,528","20,703",510,"5,146"
New Jersey 5th,NJ-05,Democratic,Josh,Gottheimer,(JAHSH GAHT-hahy-mer),/dʒɑʃ 'gɑt.haɪ .məɹ/,2016,1975,Man,White - Non-Hispanic,Jewish,No,Defeated,51.1,46.7,43.3,55.4,43.7,56.3,47.7,48.8,47.9,50.9,48.5,50.5,75.4,4.4,10.1,8.8,0.1,1.1,47.7 ,30 ,48.1 ,75 ,"$100,219",14,,,,247,"364,545","173,963","178,058","338,580","162,305","172,486","363,746","176,486","183,854","337,701","172,587","157,690","7,424","188,921","81,808","104,678","2,435","130,102","167,503",,,,,"734,272","542,510","32,124","81,017","66,519",935,"11,167","559,815","422,171","24,644","56,682","49,511",691,"6,116"
New Jersey 6th,NJ-06,Democratic,Frank,Pallone,(FRAYNK puh-LOHN),/fɹeɪŋk pə.'loʊn/,1988,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,63.7,34.9,59.9,38.9,64.2,35.8,56.2,40.6,61.4,37.4,58.4,40.5,55.2,9.0,17.6,16.5,0.1,1.7,38.9 ,88 ,37.3 ,168 ,"$79,229",56,,,,248,"289,648","162,857","117,679","265,918","163,391","99,466","292,048","170,603","118,187","263,435","167,895","91,908","3,632","120,457","72,190","46,891","1,376","152,310","84,831",,,,,"733,855","381,645","68,724","143,987","123,372","1,046","15,081","566,466","312,435","51,098","99,520","93,297",633,"9,483"
New Jersey 7th,NJ-07,Republican,Leonard,Lance,(LEH-nerd LANCE),/'lɛ.nɹd læns/,2008,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,43.1,54.1,38.8,59.3,41.2,58.8,48.6,47.5,46.3,52.5,47.2,51.6,77.4,3.9,10.0,7.8,0.1,0.9,51.3 ,24 ,53.1 ,44 ,"$106,896",6,,,,249,"371,592","180,530","176,386","340,175","157,635","178,521","364,851","172,330","188,352","343,635","148,188","185,850","9,597","175,997","68,232","104,287","3,478","123,090","175,704",,,,,"732,573","554,527","28,675","77,840","59,668",475,"11,388","547,532","423,711","21,189","54,670","42,569",350,"5,043"
New Jersey 8th,NJ-08,Democratic,Albio,Sires,(AL-bee-oh SEAR-ees),/'æl.bi.o 'si.ɹis/,2006 Special,1951,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,77.0,18.5,77.4,19.0,80.5,19.5,75.7,21.5,78.3,20.8,73.2,26.0,30.4,8.6,50.3,8.6,0.1,2.0,33.1 ,158 ,50.9 ,57 ,"$57,391",201,,,,250,"229,736","173,834","49,336","207,307","162,232","43,032","217,359","159,013","56,502","174,889","134,733","32,337","7,819","79,518","61,510","15,141","2,867","130,858","31,769",,,,,"732,104","203,075","66,204","387,383","58,044",987,"16,411","572,563","174,044","49,401","287,873","49,000",653,"11,592"
New Jersey 9th,NJ-09,Democratic,Bill,Pascrell,(BILL PASS-KRELL) [equal stress],/bɪl pæ.skɹɛl/,1996,1937,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,69.7,28.0,68.5,30.1,74.7,25.3,64.3,33.1,68.4,30.8,64.0,35.2,45.6,9.5,31.2,12.2,0.1,1.4,33.6 ,153 ,41.0 ,128 ,"$64,964",137,,,,251,"276,738","177,954","91,696","253,218","173,082","77,951","266,738","170,663","93,912","233,242","162,642","65,376","5,224","120,459","82,498","36,246","1,715","162,834","55,094",,,,,"729,408","310,114","71,060","247,761","87,347",788,"12,338","559,066","255,127","52,933","174,465","68,340",519,"7,682"
New Jersey 10th,NJ-10,Democratic,Donald,Payne,(DAHN-uhld PAYN),/'dɑ.nəld peɪn/,2012 Special,1958,Man,Black - African-American,Christian - Baptist,No,Re-elected,85.7,11.9,85.4,12.6,89.2,10.8,85.2,12.8,87.9,11.5,84.9,14.6,23.8,50.1,16.8,6.9,0.2,2.3,28.3 ,228 ,48.5 ,72 ,"$50,100",309,,,,252,"274,410","233,822","35,111","272,407","239,483","31,379","285,386","242,306","41,562","222,771","190,856","26,450","5,465","112,123","95,734","14,154","2,235","201,435","24,271",,,,,"735,256","158,829","377,722","130,777","47,276","1,650","19,002","556,646","132,238","278,777","93,309","38,307","1,182","12,833"
New Jersey 11th,NJ-11,Republican,Rodney,Frelinghuysen,(RAHD-nee FREE-ling-high-zen),/'ɹɑd.ni 'fɹi.lɪŋg.ˌhaɪ.zɛn/,1994,1946,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,38.9,58.0,37.4,62.6,40.5,59.5,47.9,48.8,46.6,52.4,47.0,52.1,79.0,3.4,8.0,8.5,0.1,1.1,54.4 ,17 ,55.0 ,38 ,"$108,260",5,,,,253,"380,595","182,334","185,696","350,909","163,493","183,775","375,701","176,436","195,675","334,992","130,162","194,299","10,531","174,932","65,477","109,455",0,"123,935","182,239",,,,,"732,771","567,938","24,936","64,056","63,677",544,"11,620","564,075","445,480","19,069","45,200","47,903",380,"6,043"
New Jersey 12th,NJ-12,Democratic,Bonnie,Watson Coleman,(BAH-nee WAHT-suhn KOLE-muhn),/'bɑ.ni 'wɑt.sən 'koʊl.mən/,2014,1945,Woman,Black - African-American,Christian - Baptist,No,Re-elected,62.9,32.0,61.0,36.5,70.1,29.9,65.0,31.8,66.5,32.4,65.7,33.3,53.9,16.7,14.3,13.5,0.1,1.5,45.5 ,39 ,49.1 ,67 ,"$85,744",38,,,,254,"314,766","204,661","100,043","298,083","198,197","96,642","310,510","204,001","103,354","288,634","181,430","92,407","14,797","148,366","90,430","54,168","3,768","189,938","80,907",,,,,"730,872","370,303","125,464","114,457","104,827","1,054","14,767","560,285","302,134","93,303","80,114","75,600",679,"8,455"
New Mexico 1st,NM-01,Democratic,Michelle,Lujan Grisham,(mih-SHELL LOO-hahn GRISH-uhm),/mɪ.'ʃɛl 'lu.hɑn 'gɹɪ.ʃəm/,2012,1959,Woman,Hispanic - New Mexican (Hispanos),Christian - Roman Catholic,No,Re-elected,65.1,34.9,58.6,41.4,59.2,40.8,51.6,35.1,55.3,39.6,59.7,39.0,46.9,2.4,43.5,2.2,3.5,1.5,32.9 ,160 ,46.6 ,81 ,"$49,570",320,,,,255,"285,170","147,250","100,132","282,195","155,915","111,749","298,305","178,068","116,302","277,967","181,088","96,879",0,"180,032","105,474","74,558",0,"162,924","112,473",,,,,"686,391","288,232","16,016","329,665","14,776","24,773","12,929","523,774","245,411","12,598","227,802","11,729","18,281","7,953"
New Mexico 2nd,NM-02,Republican,Steve,Pearce,(STEEV PIERCE),/stiv pɪəɹs/,"2010, 2002-2008",1947,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,37.2,62.7,35.5,64.4,40.9,59.1,39.9,50.1,44.9,51.7,48.4,50.2,45.3,1.6,46.9,0.8,4.3,1.1,21.0 ,367 ,30.5 ,263 ,"$41,797",399,,,,256,"234,095","93,363","117,211","230,391","103,438","119,168","244,530","118,400","122,705","228,813","85,232","143,514",67,"147,777","52,499","95,209",69,"92,162","133,180",,,,,"686,420","275,624","10,725","355,689","5,258","30,590","8,534","508,668","230,525","8,306","238,436","4,291","21,756","5,354"
New Mexico 3rd,NM-03,Democratic,Ben Ray,Luján,(BEN RAY LOO-hahn),/bɛn ɹeɪ 'lu.hɑn/,2008,1972,Man,Hispanic - New Mexican (Hispanos),Christian - Roman Catholic,No,Re-elected,62.4,37.6,61.5,38.4,63.1,36.9,51.8,36.7,57.5,38.7,61.2,37.5,43.7,1.3,36.4,1.2,16.1,1.3,27.2 ,251 ,42.7 ,115 ,"$49,210",324,,,,257,"279,053","144,621","102,323","271,171","155,982","104,871","287,324","175,953","107,825","273,342","170,612","102,730",0,"184,076","113,249","70,775",52,"167,103","97,616",,,,,"686,368","269,954","8,721","268,049","7,517","120,005","12,122","508,065","221,912","6,549","185,088","5,923","81,925","6,668"
New York 1st,NY-01,Republican,Lee,Zeldin,(LEE ZEL-din),/li 'zɛl.dɪn/,2014,1980,Man,White - Non-Hispanic,Jewish,No,Re-elected,41.0,58.9,45.5,54.4,52.5,47.5,42.2,54.5,49.6,49.1,51.4,47.6,80.0,4.3,11.2,3.3,0.2,1.0,34.1 ,138 ,36.2 ,181 ,"$90,435",28,,,,258,"336,437","141,900","183,233","295,673","146,708","145,115","328,315","168,611","156,394","297,237","121,982","175,168",87,"172,865","78,722","94,035",108,"146,179","132,304",,,,,"717,177","558,724","32,109","89,960","24,029","1,735","10,620","549,345","439,385","23,385","61,325","18,374","1,304","5,572"
New York 2nd,NY-02,Republican,Pete,King,(PEET KING),/pit kɪŋg/,1992,1944,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,37.5,62.4,30.0,68.3,41.4,58.6,43.9,53.0,51.6,47.2,51.3,47.9,68.8,8.5,18.5,2.9,0.1,1.1,31.2 ,175 ,35.4 ,187 ,"$93,362",23,,,,259,"313,286","137,680","165,908","272,663","140,817","128,791","304,670","156,151","145,890","280,203","105,100","174,961",142,"139,330","41,814","95,177","2,339","100,545","142,309",,,,,"718,757","475,083","64,067","146,936","20,965","1,055","10,651","546,482","376,200","46,322","101,349","15,885",753,"5,973"
New York 3rd,NY-03,Democratic,Tom,Suozzi,(TAHM SWAH-zee),/tɑm 'swɑ.zi/,2016,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,52.8,47.2,54.8,45.2,58.2,41.8,51.6,45.5,50.8,48.2,53.5,45.7,73.9,2.9,9.0,12.7,0.1,1.4,51.6 ,23 ,53.3 ,43 ,"$111,504",4,,,,260,"345,275","178,288","156,942","306,221","155,451","147,617","341,582","182,847","155,946","308,809","162,947","145,706",156,"164,375","90,032","74,269",74,"157,880","113,203",,,,,"717,864","520,046","20,752","69,966","93,704",651,"12,745","553,265","409,130","15,942","49,938","70,254",431,"7,570"
New York 4th,NY-04,Democratic,Kathleen,Rice,(KATH-leen RICE),/'kæθ.lin ɹaɪs/,2014,1965,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,59.5,40.4,52.8,47.1,65.7,34.3,53.4,43.8,56.3,42.8,55.3,43.9,63.2,13.5,16.5,5.4,0.1,1.3,42.5 ,60 ,48.9 ,69 ,"$100,178",15,,,,261,"336,811","179,845","147,469","308,119","173,508","131,750","334,969","185,400","147,199","311,289","185,286","125,865",138,"170,099","89,793","80,127",179,"163,955","85,693",,,,,"718,843","438,618","98,985","129,190","39,499",828,"11,723","552,258","349,205","74,349","91,252","29,883",534,"7,035"
New York 5th,NY-05,Democratic,Gregory,Meeks,(GREH-gree MEEKS),/'gɹɛ.gɹi miks/,1998 Special,1953,Man,Black - African-American,Christian - Methodist,No,Re-elected,85.4,13.0,94.9,0,90.4,9.6,85.7,12.7,90.6,9.1,86.1,13.6,13.1,50.1,17.9,11.4,0.5,7.1,25.5 ,282 ,36.9 ,172 ,"$66,529",124,,,,262,"246,961","211,667","31,322","212,347","192,374","19,325","240,009","206,652","32,558","233,531","199,552","30,257","3,722","79,821","75,712",0,"4,109","167,836","17,875",,,,,"710,048","85,259","355,785","133,873","80,160","4,151","50,820","539,006","70,612","269,874","96,565","61,389","2,543","38,023"
New York 6th,NY-06,Democratic,Grace,Meng,(GRACE MAYNG),/gɹeɪs meɪŋg/,2012,1975,Woman,Asian - Chinese,Christian - Protestant,No,Re-elected,72.1,26.7,98.9,0,68.7,31.3,65.1,32.1,67.8,31.0,63.4,35.7,39.7,3.7,17.4,37.1,0.1,2.0,35.9 ,122 ,43.1 ,110 ,"$61,956",156,,,,263,"207,285","134,970","66,487","185,058","125,496","57,455","199,891","126,794","71,419","189,433","136,506","50,617","2,310","55,963","55,368",0,595,"111,501","50,846",,,,,"724,580","277,856","26,223","133,838","268,850",859,"16,954","590,986","234,736","21,808","102,540","219,479",529,"11,894"
New York 7th,NY-07,Democratic,Nydia,Velázquez,(NEE-dee-uh vuh-LASS-kess),/'ni.ɾi.ə və.'læs.kɛs/,1992,1953,Woman,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Re-elected,90.7,9.2,88.7,9.0,100,0,86.9,10.4,88.3,10.3,84.4,14.9,28.6,8.4,41.3,19.5,0.2,2.0,33.7 ,149 ,62.4 ,19 ,"$55,207",227,,,,264,"204,473","177,664","21,198","180,591","159,552","18,671","188,388","158,908","28,083","189,888","172,145","17,477",266,"63,812","56,593","5,713","1,506","143,930",0,,,,,"714,039","199,545","59,712","306,463","131,025","1,427","15,867","542,978","155,395","45,490","224,396","105,795",954,"10,948"
New York 8th,NY-08,Democratic,Hakeem,Jeffries,(hah-KEEM JEFF-reez),/hɑ.'kim 'dʒɛ.fɹiz/,2012,1970,Man,Black - African-American,Christian - Baptist,No,Re-elected,93.2,0,92.0,0,91.2,8.8,84.6,13.5,89.3,10.1,86.0,13.6,24.5,51.5,16.9,4.7,0.2,2.2,33.7 ,149 ,54.9 ,40 ,"$51,634",277,,,,265,"254,930","215,689","34,356","235,295","210,018","23,869","242,177","208,300","32,971","230,203","214,595",0,"15,608","83,999","77,255",0,"6,744","184,039","17,650",,,,,"718,016","155,930","378,439","131,873","33,159","1,863","16,752","550,237","134,637","283,398","93,051","25,820","1,350","11,981"
New York 9th,NY-09,Democratic,Yvette,Clarke,(ee-VET KLARK),/i.'vɛt klɑɹk/,2006,1964,Woman,Black - African-American,Christian - African Methodist Episcopal,No,Re-elected,92.3,0,89.3,0,88.5,11.5,83.5,14.4,85.3,13.8,84.1,15.4,31.2,50.2,10.6,5.9,0.2,2.0,37.5 ,98 ,62.0 ,20 ,"$54,895",232,,,,266,"253,789","211,812","36,600","239,547","204,281","33,156","248,224","208,748","38,289","232,094","214,189",0,"17,905","92,569","82,659",0,"9,910","186,141","24,164",,,,,"727,032","221,159","364,537","81,691","42,491","1,464","15,690","558,573","174,104","280,141","59,320","33,036","1,026","10,946"
