chamber,member,member_short,party,district,trump_score,trump_margin,predicted_score,trump_plus_minus
House,Joseph Crowley,Crowley,D,NY-14,14,-57.9,13.5,0.5
House,Steve Cohen,Cohen,D,TN-9,13.6,-57.7,13.1,0.5
House,Donald M. Payne Jr.,Payne,D,NJ-10,11.1,-72.4,10.6,0.5
House,Sheila Jackson Lee,Jackson Lee,D,TX-18,13.8,-56.5,13.4,0.4
House,Daniel Webster,Webster,R,FL-11,94.6,32.3,94.3,0.3
House,Linda T. Sánchez,Sánchez,D,CA-38,13.8,-39.6,13.5,0.3
House,Doug Lamborn,Lamborn,R,CO-5,93.2,24,92.9,0.3
House,Joyce Beatty,Beatty,D,OH-3,15.3,-38.4,15,0.2
House,Mike Johnson,Johnson,R,LA-4,93,24,92.8,0.2
House,Eliot L. Engel,Engel,D,NY-16,14,-52.6,13.9,0.2
House,Bob Goodlatte,Goodlatte,R,VA-6,93.2,24.8,93.1,0.2
House,Jody B. Hice,Hice,R,GA-10,93.2,25.5,93.2,0
House,Barry Loudermilk,Loudermilk,R,GA-11,92.9,25,92.8,0
House,Mick Mulvaney*,Mulvaney*,R,SC-5,NA,18.5,0,NA
House,Mike Pompeo*,Pompeo*,R,KS-4,NA,27.2,0,NA
House,Tom Price*,Price*,R,GA-6,NA,1.5,0,NA
House,Xavier Becerra*,Becerra*,D,CA-34,0,-72.9,0,0
House,Jason Smith,Smith,R,MO-8,93.2,54.4,93.2,0
House,John Conyers Jr.*,Conyers*,D,MI-13,13.2,-60.7,13.3,-0.1
House,Ruben Gallego,Gallego,D,AZ-7,13.8,-49.2,13.9,-0.1
House,José E. Serrano,Serrano,D,NY-15,11.9,-88.9,12,-0.1
House,Peter T. King,King,R,NY-2,82.5,9.1,82.7,-0.3
House,Michael F. Doyle,Doyle,D,PA-14,15.3,-35.9,15.5,-0.3
House,Markwayne Mullin,Mullin,R,OK-2,93.1,50.1,93.4,-0.3
House,Lee M. Zeldin,Zeldin,R,NY-1,86.4,12.3,86.7,-0.3
House,Dwight Evans,Evans,D,PA-2,12.1,-82.8,12.4,-0.3
House,Gary J. Palmer,Palmer,R,AL-6,94.7,44.7,95.1,-0.4
House,Mark Meadows,Meadows,R,NC-11,94.6,29.4,95,-0.4
House,Ralph Lee Abraham,Abraham,R,LA-5,93.2,29.4,93.6,-0.4
House,Kristi L. Noem,Noem,R,SD-AL,93.2,29.8,93.6,-0.4
House,Salud O. Carbajal,Carbajal,D,CA-24,23.7,-20.2,24.1,-0.4
House,Diana DeGette,DeGette,D,CO-1,10.5,-45.8,11,-0.4
House,Jared Huffman,Huffman,D,CA-2,12.1,-45.7,12.5,-0.4
House,Cedric L. Richmond,Richmond,D,LA-2,10.9,-52.4,11.4,-0.5
House,Danny K. Davis,D. Davis,D,IL-7,10.9,-78.2,11.4,-0.5
House,Trent Kelly,Kelly,R,MS-1,93.2,33,93.8,-0.5
House,Marsha Blackburn,Blackburn,R,TN-7,93.1,39.3,93.6,-0.5
House,Jeff Duncan,Duncan,R,SC-3,93.2,38,93.8,-0.6
House,Todd Rokita,Rokita,R,IN-4,93.2,34.1,93.8,-0.6
House,Jim Banks,Banks,R,IN-3,93.2,35,93.8,-0.6
House,Frederica S. Wilson,Wilson,D,FL-24,13.5,-67.7,14.1,-0.6
House,Nanette Diaz Barragán,Barragán,D,CA-44,12.1,-70.7,12.8,-0.7
House,Brendan F. Boyle,Boyle,D,PA-13,15.3,-33.6,16.1,-0.9
House,Lloyd Doggett,Doggett,D,TX-35,15.3,-33.6,16.1,-0.9
House,Robin L. Kelly,Kelly,D,IL-2,11.9,-58.9,13,-1.2
House,Alma S. Adams,Adams,D,NC-12,13.6,-40,14.7,-1.2
House,Julia Brownley,Brownley,D,CA-26,21.4,-21.9,22.8,-1.4
House,Bobby Scott,Scott,D,VA-3,15.3,-31.7,16.7,-1.4
House,Alan S. Lowenthal,Lowenthal,D,CA-47,15.5,-31.6,17,-1.5
House,Karen Bass,Bass,D,CA-37,10.9,-76.1,12.4,-1.5
House,Gwen Moore,Moore,D,WI-4,12.1,-52.2,13.7,-1.6
House,Judy Chu,Chu,D,CA-27,13.6,-37.6,15.2,-1.6
House,Tom Emmer,Emmer,R,MN-6,91.5,25.7,93.2,-1.7
House,John Ratcliffe,Ratcliffe,R,TX-4,91.5,53.6,93.3,-1.7
House,John P. Sarbanes,Sarbanes,D,MD-3,15.3,-30.8,17,-1.8
House,Elise M. Stefanik,Stefanik,R,NY-21,86.4,13.9,88.2,-1.8
House,Juan Vargas,Vargas,D,CA-51,11.9,-49,13.7,-1.8
House,F. James Sensenbrenner Jr.,Sensenbrenner,R,WI-5,89.8,20.1,91.8,-2
House,Andy Harris,Harris,R,MD-1,91.4,28.4,93.4,-2
House,Adam Smith,Smith,D,WA-9,12.5,-47.2,14.6,-2.1
House,Bobby L. Rush,Rush,D,IL-1,14.6,-54,16.8,-2.1
House,Scott DesJarlais,DesJarlais,R,TN-4,91.5,41.2,93.7,-2.2
House,Nydia M. Velázquez,Velázquez,D,NY-7,10.3,-76.5,12.6,-2.2
House,Luke Messer,Messer,R,IN-6,91.4,40.3,93.6,-2.2
House,Garret Graves,Graves,R,LA-6,91.5,33.8,93.8,-2.2
House,David Kustoff,Kustoff,R,TN-8,91.5,35.6,93.8,-2.3
House,Raja Krishnamoorthi,Krishnamoorthi,D,IL-8,20.3,-21.7,22.6,-2.3
House,Warren Davidson,Davidson,R,OH-8,91.4,34.5,93.7,-2.3
House,Jim Jordan,Jordan,R,OH-4,91.2,33.6,93.6,-2.3
House,Pramila Jayapal,Jayapal,D,WA-7,10.2,-69.9,12.6,-2.4
House,Scott Perry,Perry,R,PA-4,89.8,21.5,92.3,-2.5
House,Yvette D. Clarke,Clarke,D,NY-9,10.3,-69.1,12.8,-2.5
House,Daniel M. Donovan Jr.,Donovan,R,NY-11,81.4,9.8,83.9,-2.5
House,Katherine M. Clark,Clark,D,MA-5,13,-43.6,15.5,-2.6
House,Marcia L. Fudge,Fudge,D,OH-11,10.2,-63.5,12.8,-2.6
House,Jim Bridenstine,Bridenstine,R,OK-1,93.3,28.7,96,-2.7
House,John B. Larson,Larson,D,CT-1,17.9,-23.1,20.6,-2.8
House,James A. Himes,Himes,D,CT-4,19,-23,21.8,-2.8
House,Colleen Hanabusa,Hanabusa,D,HI-1,13.6,-32.6,16.4,-2.8
House,Dina Titus,Titus,D,NV-1,14,-29,16.9,-2.9
House,Donald Norcross,Norcross,D,NJ-1,17.2,-24.5,20.1,-2.9
House,Luis V. Gutiérrez,Gutiérrez,D,IL-4,9.1,-68.9,12.3,-3.2
House,Vicente Gonzalez,Gonzalez,D,TX-15,25.4,-16.7,28.6,-3.2
House,Steny H. Hoyer,Hoyer,D,MD-5,13.6,-31,16.9,-3.4
House,Joaquin Castro,Castro,D,TX-20,15.5,-26.7,18.9,-3.4
House,Betty McCollum,McCollum,D,MN-4,13.6,-30.9,17,-3.4
House,Mark DeSaulnier,DeSaulnier,D,CA-11,10.2,-48.8,13.7,-3.5
House,Adriano Espaillat,Espaillat,D,NY-13,8.5,-86.9,12.1,-3.6
House,Raúl R. Labrador,Labrador,R,ID-1,90.7,38.3,94.3,-3.6
House,James E. Clyburn,Clyburn,D,SC-6,11.5,-36.5,15.2,-3.7
House,Trey Hollingsworth,Hollingsworth,R,IN-9,89.5,26.9,93.2,-3.7
House,Barbara Lee,Lee,D,CA-13,8.5,-80.6,12.2,-3.8
House,Janice D. Schakowsky,Schakowsky,D,IL-9,10.2,-45.2,14,-3.9
House,Bill Foster,Foster,D,IL-11,17.2,-23.5,21.1,-3.9
House,Filemon Vela,Vela,D,TX-34,17.5,-21.5,21.4,-3.9
House,Debbie Dingell,Dingell,D,MI-12,15.3,-26.3,19.1,-3.9
House,Grace F. Napolitano,Napolitano,D,CA-32,13.3,-38.9,17.2,-3.9
House,Alexander X. Mooney,Mooney,R,WV-2,89.8,36.4,93.8,-4
House,H. Morgan Griffith,Griffith,R,VA-9,89.5,41.5,93.5,-4
House,John Lewis,Lewis,D,GA-5,8.6,-73.1,12.7,-4
House,Mark Pocan,Pocan,D,WI-2,12,-36.8,16.2,-4.2
House,Paul A. Gosar,Gosar,R,AZ-4,88.9,40.2,93.2,-4.3
House,David N. Cicilline,Cicilline,D,RI-1,15.3,-25.6,19.6,-4.3
House,Maxine Waters,Waters,D,CA-43,8.5,-61.7,12.9,-4.4
House,Pete Aguilar,Aguilar,D,CA-31,19,-21.1,23.5,-4.5
House,Bennie G. Thompson,Thompson,D,MS-2,14,-28.5,18.6,-4.5
House,Ken Buck,Buck,R,CO-4,88.1,23.1,92.7,-4.6
House,Alcee L. Hastings,Hastings,D,FL-20,8.9,-62.1,13.6,-4.6
House,Keith Ellison,Ellison,D,MN-5,8.5,-55.2,13.2,-4.8
House,Mark Takano,Takano,D,CA-41,13.8,-27.9,18.6,-4.8
House,Sanford D. Bishop Jr.,Bishop,D,GA-2,32.8,-11.7,37.8,-5
House,Debbie Wasserman Schultz,Wasserman Schultz,D,FL-23,12.3,-26.1,17.8,-5.5
House,Peter Welch,Welch,D,VT-AL,13.6,-26.4,19.1,-5.5
House,Marcy Kaptur,Kaptur,D,OH-9,15.8,-22.2,21.4,-5.6
House,Louie Gohmert,Gohmert,R,TX-1,87.7,46.9,93.3,-5.6
House,Jamie Raskin,Raskin,D,MD-8,10.2,-33.7,16.1,-5.9
House,Brian Higgins,Higgins,D,NY-26,19,-19.6,25.1,-6.1
House,Mo Brooks,Brooks,R,AL-5,87.3,33.4,93.4,-6.1
House,Suzanne Bonamici,Bonamici,D,OR-1,15.3,-22.8,21.6,-6.4
House,Niki Tsongas,Tsongas,D,MA-3,14,-22.8,20.6,-6.6
House,Rick Larsen,Larsen,D,WA-2,15.3,-22.1,22.2,-7
House,Matt Gaetz,Gaetz,R,FL-1,86.4,39.3,93.8,-7.3
House,John K. Delaney,Delaney,D,MD-6,22.4,-16.1,29.8,-7.4
House,Bonnie Watson Coleman,Watson Coleman,D,NJ-12,8.5,-33.2,16.2,-7.8
House,Mark Sanford,Sanford,R,SC-1,79.7,13.1,87.5,-7.8
House,A. Donald McEachin,McEachin,D,VA-4,14.3,-21.6,22.3,-8
House,Seth Moulton,Moulton,D,MA-6,18.6,-17.9,26.9,-8.3
House,Richard E. Neal,Neal,D,MA-1,15.3,-20.7,23.6,-8.4
House,Joseph P. Kennedy III,Kennedy,D,MA-4,13.2,-24.2,21.6,-8.4
House,Lois Frankel,Frankel,D,FL-21,17.3,-19.5,26.1,-8.8
House,Nita M. Lowey,Lowey,D,NY-17,15.3,-20.2,24.1,-8.9
House,Raúl M. Grijalva,Grijalva,D,AZ-3,8.5,-29.9,17.4,-8.9
House,Jerry McNerney,McNerney,D,CA-9,16.9,-18.6,26,-9.1
House,Andy Biggs,Biggs,R,AZ-5,83.1,21.1,92.2,-9.1
House,John J. Duncan Jr.,Duncan,R,TN-2,84.5,35.4,93.7,-9.2
House,Kathy Castor,Castor,D,FL-14,17.2,-18.2,26.9,-9.6
House,André Carson,Carson,D,IN-7,12.5,-22.8,22.6,-10.1
House,Stephanie N. Murphy,Murphy,D,FL-7,36.2,-7.3,46.7,-10.5
House,Jared Polis,Polis,D,CO-2,11.9,-21.3,23,-11.1
House,Michelle Lujan Grisham,Lujan Grisham,D,NM-1,16.9,-16.5,28.9,-12
House,James P. McGovern,McGovern,D,MA-2,12.1,-19.4,25,-13
House,Theodore E. Deutch,Deutch,D,FL-22,14.3,-15.8,27.9,-13.6
House,Suzan K. DelBene,DelBene,D,WA-1,15.3,-16.3,29.2,-14
House,John A. Yarmuth,Yarmuth,D,KY-3,16.9,-15,31.3,-14.4
House,Ami Bera,Bera,D,CA-7,23.7,-11.4,38.1,-14.4
House,Darren Soto,Soto,D,FL-9,20.3,-12.9,35.1,-14.8
House,Rosa L. DeLauro,DeLauro,D,CT-3,14.3,-15.5,29.8,-15.5
House,Ben Ray Luján,Luján,D,NM-3,15.3,-15.1,31.1,-15.9
House,Louise McIntosh Slaughter,Slaughter,D,NY-25,11.5,-16.4,27.9,-16.4
House,Christopher H. Smith,Smith,R,NJ-4,72.4,14.8,88.8,-16.4
House,Ed Perlmutter,Perlmutter,D,CO-7,20.3,-12,36.9,-16.5
House,Raul Ruiz,Ruiz,D,CA-36,27.1,-8.8,43.9,-16.8
House,William R. Keating,Keating,D,MA-9,22,-10.7,39.6,-17.6
House,Derek Kilmer,Kilmer,D,WA-6,18.6,-12.3,36.3,-17.6
House,Chellie Pingree,Pingree,D,ME-1,13.8,-14.8,31.9,-18.1
House,Emanuel Cleaver,Cleaver,D,MO-5,15.1,-13.5,33.4,-18.4
House,Paul Tonko,Tonko,D,NY-20,15.8,-13.5,34.5,-18.7
House,John Garamendi,Garamendi,D,CA-3,16.9,-12.6,35.7,-18.7
House,Frank Pallone Jr.,Pallone,D,NJ-6,10.2,-15.6,30.3,-20.2
House,Lisa Blunt Rochester,Blunt Rochester,D,DE-AL,17.2,-11.4,37.6,-20.4
House,Peter J. Visclosky,Visclosky,D,IN-1,15.3,-12.6,35.7,-20.4
House,Justin Amash,Amash,R,MI-3,62.7,9.4,83.4,-20.6
House,Denny Heck,Heck,D,WA-10,16.9,-11.4,38.1,-21.2
House,Thomas Massie,Massie,R,KY-4,71.2,35.9,93.8,-22.6
House,Charlie Crist,Crist,D,FL-13,32.1,-3.2,57.3,-25.2
House,Tom O’Halleran,O’Halleran,D,AZ-1,42.4,1.1,68.1,-25.7
House,Thomas R. Suozzi,Suozzi,D,NY-3,23.2,-6.1,49.2,-26
House,Kathleen M. Rice,Rice,D,NY-4,15.3,-9.6,42,-26.8
House,Josh Gottheimer,Gottheimer,D,NJ-5,40.7,1.1,68.1,-27.4
House,Kurt Schrader,Schrader,D,OR-5,27.6,-4.2,55.2,-27.6
House,Collin C. Peterson,Peterson,D,MN-7,63.2,30.8,93.5,-30.3
House,James R. Langevin,Langevin,D,RI-2,16.9,-7.1,47.9,-31
House,Ruben J. Kihuen,Kihuen,D,NV-4,22.4,-4.9,53.5,-31.1
House,Tim Ryan,Ryan,D,OH-13,16.9,-6.5,49.4,-32.5
House,Sander M. Levin,Levin,D,MI-9,13.6,-7.8,46.2,-32.7
House,Elizabeth H. Esty,Esty,D,CT-5,20.3,-4.1,55.4,-35.1
House,Jacky Rosen,Rosen,D,NV-3,31,1,67.8,-36.8
House,Walter B. Jones,Jones,R,NC-3,55.8,23.6,92.8,-37
House,Ann M. Kuster,Kuster,D,NH-2,22,-2.4,59.7,-37.6
House,Joe Courtney,Courtney,D,CT-2,20.3,-2.9,58.4,-38.1
House,Daniel T. Kildee,Kildee,D,MI-5,15.8,-4.2,55.4,-39.6
House,Cheri Bustos,Bustos,D,IL-17,25.4,0.7,67.2,-41.7
House,Peter A. DeFazio,DeFazio,D,OR-4,20.7,-0.1,65.4,-44.7
House,Sean Patrick Maloney,S. Maloney,D,NY-18,23.7,1.9,69.9,-46.2
House,Ron Kind,Kind,D,WI-3,25.4,4.5,75.3,-49.9
House,Carol Shea-Porter,Shea-Porter,D,NH-1,19,1.6,70.4,-51.4
House,David Loebsack,Loebsack,D,IA-2,22,4.1,74.5,-52.5
House,Matt Cartwright,Cartwright,D,PA-17,22.4,10.1,84.2,-61.8
House,Richard M. Nolan,Nolan,D,MN-8,20.3,15.6,89.5,-69.2
House,Timothy J. Walz,Walz,D,MN-1,19.3,14.9,88.8,-69.5
