chamber,member,member_short,party,district,trump_score,trump_margin,predicted_score,trump_plus_minus
Senate,Tom Udall,Udall,D,NM,23.2,-8.2,38.7,-15.5
Senate,Cory A. Booker,Booker,D,NJ,14.3,-14.1,30.9,-16.6
Senate,Ron Wyden,Wyden,D,OR,17.9,-11,34.7,-16.8
Senate,Bill Nelson,Nelson,D,FL,37.5,1.2,56.5,-19
Senate,Amy Klobuchar,Klobuchar,D,MN,30.4,-1.5,50.9,-20.5
Senate,Margaret Wood Hassan,Hassan,D,NH,32.1,-0.4,53.3,-21.1
Senate,Jeanne Shaheen,Shaheen,D,NH,32.1,-0.4,53.3,-21.1
Senate,Jeff Merkley,Merkley,D,OR,12.5,-11,34.7,-22.2
Senate,Gary C. Peters,Peters,D,MI,30.9,0.2,54.4,-23.5
Senate,Debbie Stabenow,Stabenow,D,MI,30.4,0.2,54.5,-24.1
Senate,Al Franken,Franken,D,MN,24.1,-1.5,49.4,-25.3
Senate,Robert P. Casey Jr.,Casey,D,PA,28.6,0.7,55.5,-26.9
Senate,Tammy Baldwin,Baldwin,D,WI,21.4,0.8,55.6,-34.2
Senate,Joe Donnelly,Donnelly,D,IN,47.3,19.2,84.5,-37.2
Senate,Joe Manchin III,Manchin,D,WV,53.6,42.2,93.2,-39.6
Senate,Sherrod Brown,Brown,D,OH,30.4,8.1,70.1,-39.7
Senate,Claire McCaskill,McCaskill,D,MO,43.6,18.6,84.2,-40.6
Senate,Heidi Heitkamp,Heitkamp,D,ND,50,35.7,92.5,-42.5
Senate,Jon Tester,Tester,D,MT,39.3,20.4,85.8,-46.5
House,David G. Valadao,Valadao,R,CA-21,98.3,-15.5,30.5,67.8
House,Erik Paulsen,Paulsen,R,MN-3,98.3,-9.4,42.5,55.8
House,Carlos Curbelo,Curbelo,R,FL-26,83.9,-16.1,28.3,55.6
House,Barbara Comstock,Comstock,R,VA-10,96.6,-10,41.1,55.5
House,Edward R. Royce,Royce,R,CA-39,96.6,-8.6,44.3,52.3
House,Mike Coffman,Coffman,R,CO-6,94.9,-8.9,43.6,51.3
House,Stephen Knight,Knight,R,CA-25,98.3,-6.7,48.9,49.4
House,Ileana Ros-Lehtinen,Ros-Lehtinen,R,FL-27,72.2,-19.7,23.8,48.4
House,Darrell E. Issa,Issa,R,CA-49,93.1,-7.5,46.1,47
House,Mimi Walters,Walters,R,CA-45,98.3,-5.4,52.1,46.2
House,Peter J. Roskam,Roskam,R,IL-6,93.1,-7,48.3,44.8
House,Martha McSally,McSally,R,AZ-2,96.6,-4.9,53.4,43.2
House,Jeff Denham,Denham,R,CA-10,98.3,-3,58.2,40.1
House,Will Hurd,Hurd,R,TX-23,96.6,-3.4,57.2,39.4
House,Henry Cuellar,Cuellar,D,TX-28,62.7,-19.8,24.6,38.1
House,Pete Sessions,Sessions,R,TX-32,98.3,-1.9,60.6,37.6
House,John Abney Culberson,Culberson,R,TX-7,98.3,-1.4,62.1,36.2
House,John Katko,Katko,R,NY-24,89.8,-3.6,56.7,33.2
House,Karen C. Handel,Handel,R,GA-6,96,1.5,63.6,32.4
House,Kevin Yoder,Yoder,R,KS-3,94.9,-1.2,62.6,32.3
House,David G. Reichert,Reichert,R,WA-8,87.9,-3,58.3,29.6
House,Dana Rohrabacher,Rohrabacher,R,CA-48,89.8,-1.7,61.4,28.4
House,Patrick Meehan,Meehan,R,PA-7,88.1,-2.3,59.9,28.2
House,Ryan A. Costello,Costello,R,PA-6,92.9,-0.6,65.4,27.5
House,Jason Lewis,Lewis,R,MN-2,94.8,1.2,68.2,26.6
House,Don Bacon,Bacon,R,NE-2,96.6,2.2,70.6,26.1
House,Scott Taylor,Taylor,R,VA-2,98.2,3.4,73,25.2
House,David Young,Young,R,IA-3,98.3,3.5,73.3,25
House,Mario Diaz-Balart,Diaz-Balart,R,FL-25,92.9,1.7,69.3,23.6
House,Leonard Lance,Lance,R,NJ-7,86.4,-1.1,62.9,23.6
House,David A. Trott,Trott,R,MI-11,98.2,4.4,74.9,23.3
House,Paul D. Ryan,Ryan,R,WI-1,100,10.3,77.1,22.9
House,Kyrsten Sinema,Sinema,D,AZ-9,50,-16.3,27.6,22.4
House,Rodney P. Frelinghuysen,Frelinghuysen,R,NJ-11,89.8,0.9,67.6,22.2
House,Rod Blum,Blum,R,IA-1,94.9,3.5,73.3,21.6
House,Randy Hultgren,Hultgren,R,IL-14,94.9,3.9,74.1,20.8
House,Rob Woodall,Woodall,R,GA-7,98.3,6.3,78.6,19.7
House,Rodney Davis,R. Davis,R,IL-13,96.6,5.5,77.2,19.4
House,Lloyd Smucker,Smucker,R,PA-16,98.3,6.8,79.5,18.9
House,Mike Bishop,Bishop,R,MI-8,96.6,6.7,79.3,17.3
House,Mia B. Love,Love,R,UT-4,96.6,6.7,79.3,17.3
House,John Curtis,Curtis,R,UT-3,100,23.9,83.1,16.9
House,Jim Costa,Costa,D,CA-16,37.7,-21.6,21.1,16.7
House,Kenny Marchant,Marchant,R,TX-24,94.9,6.2,78.4,16.5
House,Fred Upton,Upton,R,MI-6,98.3,8.4,81.8,16.5
House,Steve Chabot,Chabot,R,OH-1,94.9,6.6,79.1,15.8
House,Pete Olson,Olson,R,TX-22,96.6,7.9,81,15.5
House,Michael T. McCaul,McCaul,R,TX-10,98.3,9.1,82.9,15.4
