"","member","district","trump_score","tspred","ts.vs.replace","tsvr.rank"
"73","Denny Heck","WA-10",17,19,-2,120
"74","Vicente Gonzalez","TX-15",25,27,-2,119
"75","Joseph P. Kennedy III","MA-04",13,15,-2,118
"76","Al Green","TX-09",14,15,-2,117
"77","Danny K. Davis","IL-07",11,12,-2,116
"78","Nydia M. Velázquez","NY-07",10,12,-1,115
"79","Karen Bass","CA-37",11,12,-1,114
"80","Peter A. DeFazio","OR-04",21,22,-1,113
"81","Donald M. Payne Jr.","NJ-10",11,12,-1,112
"82","Elijah E. Cummings","MD-07",13,14,-1,111
"83","Bill Foster","IL-11",17,18,-1,110
"84","John P. Sarbanes","MD-03",15,17,-1,109
"85","David E. Price","NC-04",15,16,-1,108
"86","Sheila Jackson Lee","TX-18",14,15,-1,107
"87","Grace Meng","NY-06",19,20,-1,106
"88","Marcia L. Fudge","OH-11",10,11,-1,105
"89","José E. Serrano","NY-15",12,13,-1,104
"90","James A. Himes","CT-04",19,20,-1,103
"91","Ted Lieu","CA-33",14,15,0,102
"92","Eliot L. Engel","NY-16",14,14,0,101
"93","David N. Cicilline","RI-01",15,16,0,100
"94","Adam Smith","WA-09",12,13,0,99
"95","Frederica S. Wilson","FL-24",14,14,0,98
"96","Robin L. Kelly","IL-02",12,12,0,97
"97","Suzanne Bonamici","OR-01",15,16,0,96
"98","Keith Ellison","MN-05",8,9,0,95
"99","Val Butler Demings","FL-10",20,21,0,94
"100","Ann M. Kuster","NH-02",22,22,0,93
"101","Richard E. Neal","MA-01",15,15,0,92
"102","Nanette Diaz Barragán","CA-44",12,12,0,91
"103","Bill Pascrell Jr.","NJ-09",19,19,0,90
"104","Anthony G. Brown","MD-04",14,14,0,89
"105","Betty McCollum","MN-04",14,14,0,88
"106","John B. Larson","CT-01",18,18,0,87
"107","Susan A. Davis","CA-53",17,17,0,86
"108","Steve Cohen","TN-09",14,13,0,85
"109","Ruben Gallego","AZ-07",14,14,0,84
"110","Brendan F. Boyle","PA-13",15,15,0,83
"111","G. K. Butterfield","NC-01",17,17,0,82
"112","Norma J. Torres","CA-35",17,17,0,81
"113","Hakeem S. Jeffries","NY-08",14,13,0,80
"114","Joseph Crowley","NY-14",14,14,0,79
"115","Marcy Kaptur","OH-09",16,15,0,78
"116","Debbie Dingell","MI-12",15,15,0,77
"117","Donald Norcross","NJ-01",17,17,1,76
"118","Dwight Evans","PA-02",12,12,1,75
"119","Hank Johnson Jr.","GA-04",16,15,1,74
"120","Brenda L. Lawrence","MI-14",14,13,1,73
"121","Terri A. Sewell","AL-07",17,16,1,72
"122","John K. Delaney","MD-06",22,22,1,71
"123","Katherine M. Clark","MA-05",13,12,1,70
"124","Gwen Moore","WI-04",12,11,1,69
"125","Marc A. Veasey","TX-33",16,15,1,68
"126","Ed Perlmutter","CO-07",20,19,1,67
"127","Zoe Lofgren","CA-19",15,14,1,66
"128","Tony Cárdenas","CA-29",14,13,1,65
"129","Rick Larsen","WA-02",15,14,1,64
"130","Brian Higgins","NY-26",19,18,1,63
"131","Mark Pocan","WI-02",12,11,1,62
"132","Eddie Bernice Johnson","TX-30",15,14,1,61
"133","Bobby L. Rush","IL-01",15,13,1,60
"134","Derek Kilmer","WA-06",19,17,1,59
"135","Ron Kind","WI-03",25,24,1,58
"136","Julia Brownley","CA-26",21,20,1,57
"137","Ami Bera","CA-07",24,22,1,56
"138","Raja Krishnamoorthi","IL-08",20,19,2,55
"139","Seth Moulton","MA-06",19,17,2,54
"140","Doris O. Matsui","CA-06",15,13,2,53
"141","Joyce Beatty","OH-03",15,13,2,52
"142","Cheri Bustos","IL-17",25,23,2,51
"143","Michael F. Doyle","PA-14",15,13,2,50
"144","Donald S. Beyer Jr.","VA-08",16,14,2,49
"145","Raul Ruiz","CA-36",27,25,2,48
"146","Eric Swalwell","CA-15",17,15,2,47
"147","Pramila Jayapal","WA-07",10,8,2,46
"148","Al Lawson Jr.","FL-05",22,20,3,45
"149","Jerrold Nadler","NY-10",14,11,3,44
"150","Beto O’Rourke","TX-16",22,19,3,43
"151","Jared Huffman","CA-02",12,9,3,42
"152","Tulsi Gabbard","HI-02",21,18,3,41
"153","Lucille Roybal-Allard","CA-40",16,12,3,40
"154","David Scott","GA-13",20,16,3,39
"155","Robert A. Brady","PA-01",14,10,3,38
"156","William R. Keating","MA-09",22,19,3,37
"157","Carolyn B. Maloney","NY-12",14,10,3,36
"158","Jacky Rosen","NV-03",31,28,3,35
"159","Brad Sherman","CA-30",17,14,4,34
"160","Nancy Pelosi","CA-12",14,11,4,33
"161","Michael E. Capuano","MA-07",14,10,4,32
"162","Gerald E. Connolly","VA-11",20,16,4,31
"163","Anna G. Eshoo","CA-18",16,11,4,30
"164","Adam B. Schiff","CA-28",17,13,4,29
"165","Peter Welch","VT-AL",14,9,4,28
"166","Wm. Lacy Clay","MO-01",16,11,4,27
"167","Jackie Speier","CA-14",17,13,4,26
"168","Albio Sires","NJ-08",20,15,5,25
"169","Gregory W. Meeks","NY-05",18,13,5,24
"170","Mike Thompson","CA-05",16,11,5,23
"171","Salud O. Carbajal","CA-24",24,19,5,22
"172","Stephen F. Lynch","MA-08",21,16,5,21
"173","C. A. Dutch Ruppersberger","MD-02",24,18,5,20
"174","Kurt Schrader","OR-05",28,21,6,19
"175","Jim Cooper","TN-05",27,20,7,18
"176","Gene Green","TX-29",23,16,7,17
"177","Mike Quigley","IL-05",19,12,7,16
"178","Sanford D. Bishop Jr.","GA-02",33,25,7,15
"179","Earl Blumenauer","OR-03",16,9,8,14
"180","Charlie Crist","FL-13",32,24,8,13
"181","Jimmy Panetta","CA-20",20,12,8,12
"182","Bradley Scott Schneider","IL-10",25,17,9,11
"183","Scott H. Peters","CA-52",29,20,9,10
"184","Stephanie N. Murphy","FL-07",36,25,11,9
"185","J. Luis Correa","CA-46",29,17,12,8
"186","Josh Gottheimer","NJ-05",41,28,13,7
"187","Daniel Lipinski","IL-03",33,19,13,6
"188","Tom O’Halleran","AZ-01",42,28,14,5
"189","Jim Costa","CA-16",38,21,17,4
"190","Collin C. Peterson","MN-07",63,36,28,3
"191","Kyrsten Sinema","AZ-09",50,20,30,2
"192","Henry Cuellar","TX-28",63,24,39,1
