"","district","distlong","party","incfirst","inclast","pronounce","pronounceipa","firstelect","birthyr","gender","race","religion","lgbt","pre16inc","demH16","repH16","demH14","repH14","dem2p12","rep2p12","clinton16","trump16","obama12","romney12","obama08","mccain08","cens10white","cens10black","cens10latino","cens10aapi","cens10native","cens10other","acs16ba","acs16barank","acs16whiteba","acs16whitebarank","medinc","incrank","popvote16","hrcvote16","djtvote16","popvote12","bhovote12","mrvote12","popvote08","bhovote08","jmvote08","popHvote16","demHvote16","repHvote16","otherHvote16","popHvote14","demHvote14","repHvote14","otherHvote14","demH2p12","repH2p12","pop","popWhite","popBlack","popLatino","popAAPI","popNative","popOther","vap","vapWhite","vapBlack","vapLatino","vapAAPI","vapNative","vapOther","land.area","popdens"
"235","NC-02","North Carolina 2nd","Republican","George","Holding","(JORJ HOLE-ding)","/d_ÍÄîÄ_d_Í 'ho__l.dÄÈÅ†g/","2012",1968,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",43.3,56.7,"      Redrawn",NA,"      Redrawn",NA,43.6,53.2,43,56,44.8,54.3,70.7,19.7,7.1,1.8,0.6,3.6,36.2,117,40.5,132,65792,131,397167,173131,211450,367350,158037,205651,340695,152560,185058,390567,169082,221485,0,NA,NA,NA,NA,NA,NA,734740,500909,149478,64463,13235,4685,32264,530179,374585,104330,37786,9400,3198,19341,2698.38,272.289299505629
"236","NC-03","North Carolina 3rd","Republican","Walter","Jones","(WAWL-tuh JOHNZ)","/'wÄîl.tÄ» d_Ío__nz/","1994",1943,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",32.8,67.2,"      Redrawn",NA,"      Redrawn",NA,36.9,60.5,40.6,58.5,42.7,57,71.2,21.2,5.4,1.4,0.5,2.4,22.8,336,25.9,337,47565,344,328451,121094,198864,319093,129535,186723,310406,132447,176953,323701,106170,217531,0,NA,NA,NA,NA,NA,NA,732627,502246,166389,47782,9830,3583,20321,563610,401447,119564,30321,7617,2778,13272,7212.52,101.577118676967
"237","NC-04","North Carolina 4th","Democratic","David","Price","(DAY-vid PRICE)","/'deÄÈ.vÄÈd pÄ_aÄÈs/","1996, 1986-1994",1940,"Man","White - Non-Hispanic","Christian - Baptist","No","Re-elected",68.2,31.8,"      Redrawn",NA,"      Redrawn",NA,68.2,28.2,64.5,34.2,65.8,33.2,61.6,22.4,8.7,6.6,0.4,4.2,54.5,16,63.9,17,70587,91,412533,281517,116383,392923,253331,134265,363329,238947,120713,409541,279380,130161,0,NA,NA,NA,NA,NA,NA,733218,424627,176841,75661,50555,3520,36743,561968,346286,125884,48821,37350,2464,23586,732.61,1000.82990950164
"238","NC-05","North Carolina 5th","Republican","Virginia","Foxx","(ver-JIN-yuh FAHKS)","/vÄ»Ä_.'d_ÍÄÈn.jÄ» fÄïks/","2004",1943,"Woman","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",41.6,58.4,"      Redrawn",NA,"      Redrawn",NA,39.8,57.4,42.3,56.5,44.7,54.3,77.7,14,6.7,1.1,0.3,3.9,26.3,270,27.7,303,45001,374,358023,142367,205348,345768,146282,195415,341091,152434,185088,355512,147887,207625,0,NA,NA,NA,NA,NA,NA,733879,546455,110223,64728,9007,2461,38339,567664,440882,79570,38023,6515,1806,22272,3968.95,184.905075649731
"239","NC-06","North Carolina 6th","Republican","Mark","Walker","(MARK WAWL-ker)","/mÄïÄ_k 'wÄîl.kÄ»Ä_/","2014",1969,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",40.8,59.2,"      Redrawn",NA,"      Redrawn",NA,41.4,56.1,43.2,55.9,45.2,53.8,71.1,19.9,7.1,1.2,0.5,3.8,24.6,299,28.3,297,47335,349,358853,148725,201387,346117,149442,193609,330452,149516,177661,351150,143167,207983,0,NA,NA,NA,NA,NA,NA,733554,498545,152617,67658,9675,4210,35573,558250,396980,110881,39909,6802,2986,21428,3911.32,187.546403771617
"240","NC-07","North Carolina 7th","Republican","David","Rouzer","(DAY-vid ROW-zer) [Rhymes with cow]","/'deÄÈ.vÄÈd 'Ä_a__.zÄ»Ä_/","2014",1972,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",39.1,60.9,"      Redrawn",NA,"      Redrawn",NA,39.9,57.6,43.2,55.9,44.8,54.7,70.8,20.3,7,0.8,0.9,4.3,24.9,296,29.7,273,45002,373,357908,142809,206150,337348,145865,188514,325028,145487,177670,347706,135905,211801,0,NA,NA,NA,NA,NA,NA,734750,496463,158230,65242,5843,6801,39737,569264,403145,115434,39604,4520,5049,24311,5940.29,123.689247494651
"241","NC-08","North Carolina 8th","Republican","Richard","Hudson","(RICH-erd HUHD-suhn)","/'Ä_ÄÈ.t_€Ä»Ä_d 'h_ëd.sÄ»n/","2012",1971,"Man","White - Non-Hispanic","Christian - Protestant","No","Re-elected",41.2,58.8,"      Redrawn",NA,"      Redrawn",NA,41.1,56.1,44.4,54.7,45.4,54,66.9,22.5,7.3,2,1.2,3.3,26.5,264,29.5,277,50570,301,331234,136233,185873,318307,141264,174101,311155,141319,167942,323045,133182,189863,0,NA,NA,NA,NA,NA,NA,733160,464581,177658,66336,14810,9366,29782,544179,364259,122182,39473,11012,6661,18228,2954.88,248.118366904917
"242","NC-09","North Carolina 9th","Republican","Robert","Pittenger","(RAH-bert PITT-n-jer)","/'Ä_Äï.bÄ_t 'pÄÈ._în.d_ÍÄ»Ä_/","2012",1948,"Man","White - Non-Hispanic","Christian - Evangelical Protestant","No","Re-elected",41.8,58.2,"      Redrawn",NA,"      Redrawn",NA,42.8,54.4,43.8,55.4,45.5,54.3,64.1,19.6,5.9,2,8,3,33.8,147,41.5,121,55913,218,343888,147072,186974,334522,146474,185251,314446,142985,170694,332493,139041,193452,0,NA,NA,NA,NA,NA,NA,733124,452011,149844,52079,15076,60674,25851,536830,344302,104984,31880,10847,42911,15932,3873.97,189.243592490391
"243","NC-10","North Carolina 10th","Republican","Patrick","McHenry","(PAT-chrik mick-HEN-ree)","/'pí_.t_€Ä_ÄÈk mÄÈk.'hÄ_n.Ä_i","2004",1975,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",36.9,63.1,"      Redrawn",NA,"      Redrawn",NA,36.4,61,40.4,58.5,41.7,57.5,81.9,11.6,4.5,1.3,0.3,2.1,24.6,299,26.5,322,46508,358,355111,129233,216790,340408,137613,199068,333115,138913,191615,349744,128919,220825,0,NA,NA,NA,NA,NA,NA,736057,582998,95259,41449,10579,2478,19284,568988,466093,66108,25543,7223,1896,11968,2588.73,284.331313037667
"244","NC-11","North Carolina 11th","Republican","Mark","Meadows","(MARK MED-ohz)","/mÄïÄ_k 'mÄ_.Ä_o__z/","2012",1959,"Man","White - Non-Hispanic","Christian - Methodist","No","Re-elected",35.9,64.1,"      Redrawn",NA,"      Redrawn",NA,34,63.2,39.1,59.6,41.6,57.1,89.6,3.3,4.3,1,1.3,2.2,24,308,25.2,347,43855,386,364055,123806,230001,339041,132399,202151,339224,141076,193688,359508,129103,230405,0,NA,NA,NA,NA,NA,NA,733447,640542,27828,41284,8329,11038,20162,580523,519927,18995,25134,5645,7637,12551,6606.27,111.022861614799
"245","NC-12","North Carolina 12th","Democratic","Alma","Adams","(AL-muh ADD-umz)","/'í_l.mÄ» 'í_.Ä_Ä»mz/","2014 Special",1946,"Woman","Black - African-American","Christian - Baptist","No","Re-elected",67,33,"      Redrawn",NA,"      Redrawn",NA,68.4,28.4,67.8,31.3,69.5,31.6,46.6,36.2,12.1,4.7,0.5,6.4,39.8,81,52.3,48,59268,188,356321,243736,101161,340787,231080,106731,304107,211205,95981,349300,234115,115185,0,NA,NA,NA,NA,NA,NA,733894,312781,281939,102704,34323,3734,54218,546981,254771,198049,66437,25837,2669,34997,420.33,1745.99481359884
"246","NC-13","North Carolina 13th","Republican","Ted","Budd","(TED BUHD)","/tÄ_d b_ëd/","2016",1971,"Man","White - Non-Hispanic","Christian - Nondenominational","No","Open - Seat Eliminated in Redistricting/Lost Primary in NC-02",43.9,56.1,"      Redrawn",NA,"      Redrawn",NA,44,53.4,46.1,52.9,48.1,51.2,69.8,21.2,5.7,2.6,0.4,3,27,255,29.6,276,47440,346,363851,160004,194170,353107,162903,186922,341612,164321,174934,355492,156049,199443,0,NA,NA,NA,NA,NA,NA,729710,487239,164132,52139,20836,3460,27403,558306,389588,118192,32037,14775,2512,16961,1831.7,398.378555440301
"247","ND-AL","North Dakota At-Large","Republican","Kevin","Cramer","(KEV-in KRAY-mer)","/'kÄ_.vÄÈn 'kÄ_eÄÈ.mÄ»Ä_/","2012",1961,"Man","White - Non-Hispanic","Christian - Evangelical Protestant","No","Re-elected",23.7,69.1,"38.5",55.5,"43.2",56.8,27.7,64.1,38.9,58.7,44.7,53.3,91,1,1.5,1.1,4.4,1,29.6,209,31,250,60656,177,337963,93758,216794,320767,124827,188163,316615,141403,168887,338459,80377,233980,24102,248670,95678,138100,14892,131869,173433,672591,598007,7720,13467,7129,35562,10706,522720,475686,5157,8064,5782,22786,5245,69001,9.74755438326981
"248","NE-01","Nebraska 1st","Republican","Jeff","Fortenberry","(JEFF FOR-tn-bare-ee)","/d_ÍÄ_f 'fÄîÄ_._în.èëbÄ_.Ä_i/","2004",1960,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",30.5,69.5,"31.2",68.8,"31.7",68.3,36.2,57.5,40.8,57.5,44,54.1,87.9,2.3,5.8,2.1,0.9,1,32.5,163,33.9,206,58537,192,276046,100030,158629,264718,107994,152122,267008,117514,144470,273238,83467,189771,0,179057,55838,123219,0,81206,174889,608065,516832,14907,45360,12787,6909,11270,458727,403070,10348,26641,9555,4348,4765,8879.02,68.4833461350464
"249","NE-02","Nebraska 2nd","Republican","Don","Bacon","(DAHN BAY-kuhn)","/dÄïn 'beÄÈ.kÄ»n/","2016",1963,"Man","White - Non-Hispanic","Christian - Protestant","No","Defeated",47.7,48.9,"49",45.7,"49.2",50.8,46,48.2,45.7,52.8,49.8,48.6,78.3,9.2,8.2,2.5,0.4,1.3,39.2,85,43.7,100,62621,150,285211,131102,137506,266720,121971,140880,267039,133016,129890,288308,137602,141066,9640,171050,83872,78157,9021,129767,133964,609223,454079,61305,61976,15680,2755,13428,447161,350324,41319,36613,11309,1943,5653,509.74,1195.16420135755
"250","NE-03","Nebraska 3rd","Republican","Adrian","Smith","(AY-dree-in SMITH)","/'eÄÈ.Ä_Ä_i.ÄÈn smÄÈ‘Ÿ/","2006",1970,"Man","White - Non-Hispanic","Christian - Evangelical Free Church","No","Re-elected",0,100,"24.6",75.4,"25.8",74.2,20,74.9,27.8,70.2,31,66.9,89.7,0.7,7.6,0.7,0.7,0.6,22.2,348,23.9,375,50985,289,266918,53362,199826,259224,72116,182062,266981,82789,178619,226720,0,226720,0,184964,45524,139440,0,65266,187423,609053,528842,4747,60069,4418,5133,5844,461232,413562,3314,34967,3239,3346,2804,67435.41,9.03164969264664
"251","NH-01","New Hampshire 1st","Democratic","Carol","Shea-Porter","(KAIR-ul shay POOR-ter)","/'kÄ_.Ä_l _€ei 'pÄîÄ_.Ä_Ä_","2016",1952,"Woman","White - Non-Hispanic","Christian - Roman Catholic","No","Defeated",45.8,44.4,"48.1",51.7,"52",48,46.6,48.2,50.2,48.6,52.8,46.4,93.7,1,2.2,1.9,0.2,1,37.2,105,37.4,167,71277,85,371973,173344,179259,356812,179148,173419,353603,186598,163977,353451,161828,157011,34612,242736,116769,125508,459,171650,158659,658233,607603,7643,18305,13357,1176,10149,514495,481892,5135,11377,9906,916,5269,2463.65,267.177967649626
"252","NH-02","New Hampshire 2nd","Democratic","Annie","Kuster","(ANN-ee KUHS-ter)","/'í_.ni 'kÄ».stÄ»Ä_/","2012",1956,"Woman","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",49.8,45.4,"54.9",44.9,"52.5",47.5,48.6,46.2,54.2,44.5,56,43.1,93.5,0.8,2.2,2.2,0.2,1.1,35.9,122,35.6,186,70524,92,360294,175182,166531,351587,190413,156499,354008,198228,152557,350189,174386,158960,16843,238149,130679,106857,613,169275,152977,658237,607447,5982,18399,15213,1517,9679,514741,481039,4301,11557,11180,1208,5456,6489,101.438896594236
"253","NJ-01","New Jersey 1st","Democratic","Donald","Norcross","(DAHN-uhld NOR-kraws)","/'dÄï.nÄ»ld 'nÄîÄ_.kÄ_Äîs/","2014 Special",1958,"Man","White - Non-Hispanic","Christian - Lutheran","No","Re-elected",60,36.8,"57.4",39.4,"69.5",30.5,60.6,36.1,65.1,33.8,64.7,34.2,68.9,15.4,9.9,4.5,0.2,1.2,30.4,189,33.4,215,68208,110,329188,199386,118880,326134,212236,110377,340075,219874,116242,305473,183231,112388,9854,162492,93315,64073,5104,210470,92459,731714,480423,119179,84785,32984,1128,13215,556968,383899,85825,54875,24852,854,6663,350.02,2090.49197188732
"254","NJ-02","New Jersey 2nd","Republican","Frank","LoBiondo","(FRAYNK low-bee-AHN-doh)","/fÄ_eÄÈÅ†k èëlo__.bi.'Äïn.do__/","1994",1946,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",37.2,59.2,"37.3",61.5,"41.1",58.9,46,50.6,53.5,45.4,53.2,45.5,71,11.8,12.2,3.5,0.3,1.2,25.8,279,30.3,268,60756,175,321004,147656,162486,311778,166906,141479,328805,174840,149736,297795,110838,176338,10619,177148,66026,108875,2247,116463,166679,732326,495309,90019,105485,26175,2089,13249,564025,400427,66558,68994,19629,1642,6775,2092.43,349.988291125629
"255","NJ-03","New Jersey 3rd","Republican","Tom","MacArthur","(TAHM muh-KAR-thur)","/tÄïm mÄ».kÄïÄ_.‘ŸÄ»Ä_/","2014",1960,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",38.9,59.3,"44.4",54,"45.5",54.5,45.2,51.4,51.8,47.2,51.1,47.7,80,9.8,5.6,3.2,0.1,1.4,33.9,146,34.2,199,74537,72,365240,165090,187703,345812,179028,163203,367978,188210,175525,328060,127526,194596,5938,186103,82537,100471,3095,145509,174257,733895,571319,74882,47920,24343,888,14543,571390,457098,55799,31913,18146,691,7743,899.7,815.710792486384
"256","NJ-04","New Jersey 4th","Republican","Chris","Smith","(KRISS SMITH)","/kÄ_ÄÈs smÄÈ‘Ÿ/","1980",1953,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",33.5,63.7,"31.1",68,"35.6",64.4,41,55.8,44.7,54.2,45.3,53.6,80.5,6.2,8.5,3.8,0.1,0.9,39.6,83,42.1,120,78511,57,356583,146191,198859,332612,148622,180439,355041,160660,190307,332684,111532,211992,9160,174849,54415,118826,1608,108097,195186,732848,578886,46412,69676,27558,643,9673,547849,440802,34160,46528,20703,510,5146,691.88,1059.21258021622
"257","NJ-05","New Jersey 5th","Democratic","Josh","Gottheimer","(JAHSH GAHT-hahy-mer)","/d_ÍÄï_€ 'gÄït.haÄÈ .mÄ»Ä_/","2016",1975,"Man","White - Non-Hispanic","Jewish","No","Defeated",51.1,46.7,"43.3",55.4,"43.7",56.3,47.7,48.8,47.9,50.9,48.5,50.5,75.4,4.4,10.1,8.8,0.1,1.1,47.7,30,48.1,75,100219,14,364545,173963,178058,338580,162305,172486,363746,176486,183854,337701,172587,157690,7424,188921,81808,104678,2435,130102,167503,734272,542510,32124,81017,66519,935,11167,559815,422171,24644,56682,49511,691,6116,991.3,740.71623121154
"258","NJ-06","New Jersey 6th","Democratic","Frank","Pallone","(FRAYNK puh-LOHN)","/fÄ_eÄÈÅ†k pÄ».'lo__n/","1988",1951,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",63.7,34.9,"59.9",38.9,"64.2",35.8,56.2,40.6,61.4,37.4,58.4,40.5,55.2,9,17.6,16.5,0.1,1.7,38.9,88,37.3,168,79229,56,289648,162857,117679,265918,163391,99466,292048,170603,118187,263435,167895,91908,3632,120457,72190,46891,1376,152310,84831,733855,381645,68724,143987,123372,1046,15081,566466,312435,51098,99520,93297,633,9483,215.55,3404.56970540478
"259","NJ-07","New Jersey 7th","Republican","Leonard","Lance","(LEH-nerd LANCE)","/'lÄ_.nÄ_d lí_ns/","2008",1952,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",43.1,54.1,"38.8",59.3,"41.2",58.8,48.6,47.5,46.3,52.5,47.2,51.6,77.4,3.9,10,7.8,0.1,0.9,51.3,24,53.1,44,106896,6,371592,180530,176386,340175,157635,178521,364851,172330,188352,343635,148188,185850,9597,175997,68232,104287,3478,123090,175704,732573,554527,28675,77840,59668,475,11388,547532,423711,21189,54670,42569,350,5043,970.19,755.081994248549
"260","NJ-08","New Jersey 8th","Democratic","Albio","Sires","(AL-bee-oh SEAR-ees)","/'í_l.bi.o 'si.Ä_is/","2006 Special",1951,"Man","Hispanic - Cuban","Christian - Roman Catholic","No","Re-elected",77,18.5,"77.4",19,"80.5",19.5,75.7,21.5,78.3,20.8,73.2,26,30.4,8.6,50.3,8.6,0.1,2,33.1,158,50.9,57,57391,201,229736,173834,49336,207307,162232,43032,217359,159013,56502,174889,134733,32337,7819,79518,61510,15141,2867,130858,31769,732104,203075,66204,387383,58044,987,16411,572563,174044,49401,287873,49000,653,11592,54.69,13386.4326202231
"261","NJ-09","New Jersey 9th","Democratic","Bill","Pascrell","(BILL PASS-KRELL) [equal stress]","/bÄÈl pí_.skÄ_Ä_l/","1996",1937,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",69.7,28,"68.5",30.1,"74.7",25.3,64.3,33.1,68.4,30.8,64,35.2,45.6,9.5,31.2,12.2,0.1,1.4,33.6,153,41,128,64964,137,276738,177954,91696,253218,173082,77951,266738,170663,93912,233242,162642,65376,5224,120459,82498,36246,1715,162834,55094,729408,310114,71060,247761,87347,788,12338,559066,255127,52933,174465,68340,519,7682,95.34,7650.59786028949
"262","NJ-10","New Jersey 10th","Democratic","Donald","Payne","(DAHN-uhld PAYN)","/'dÄï.nÄ»ld peÄÈn/","2012 Special",1958,"Man","Black - African-American","Christian - Baptist","No","Re-elected",85.7,11.9,"85.4",12.6,"89.2",10.8,85.2,12.8,87.9,11.5,84.9,14.6,23.8,50.1,16.8,6.9,0.2,2.3,28.3,228,48.5,72,50100,309,274410,233822,35111,272407,239483,31379,285386,242306,41562,222771,190856,26450,5465,112123,95734,14154,2235,201435,24271,735256,158829,377722,130777,47276,1650,19002,556646,132238,278777,93309,38307,1182,12833,75.92,9684.61538461538
"263","NJ-11","New Jersey 11th","Republican","Rodney","Frelinghuysen","(RAHD-nee FREE-ling-high-zen)","/'Ä_Äïd.ni 'fÄ_i.lÄÈÅ†g.èëhaÄÈ.zÄ_n/","1994",1946,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",38.9,58,"37.4",62.6,"40.5",59.5,47.9,48.8,46.6,52.4,47,52.1,79,3.4,8,8.5,0.1,1.1,54.4,17,55,38,108260,5,380595,182334,185696,350909,163493,183775,375701,176436,195675,334992,130162,194299,10531,174932,65477,109455,0,123935,182239,732771,567938,24936,64056,63677,544,11620,564075,445480,19069,45200,47903,380,6043,504.97,1451.11788819138
"264","NJ-12","New Jersey 12th","Democratic","Bonnie","Watson Coleman","(BAH-nee WAHT-suhn KOLE-muhn)","/'bÄï.ni 'wÄït.sÄ»n 'ko__l.mÄ»n/","2014",1945,"Woman","Black - African-American","Christian - Baptist","No","Re-elected",62.9,32,"61",36.5,"70.1",29.9,65,31.8,66.5,32.4,65.7,33.3,53.9,16.7,14.3,13.5,0.1,1.5,45.5,39,49.1,67,85744,38,314766,204661,100043,298083,198197,96642,310510,204001,103354,288634,181430,92407,14797,148366,90430,54168,3768,189938,80907,730872,370303,125464,114457,104827,1054,14767,560285,302134,93303,80114,75600,679,8455,412.23,1772.97139946147
"265","NM-01","New Mexico 1st","Democratic","Michelle","Lujan Grisham","(mih-SHELL LOO-hahn GRISH-uhm)","/mÄÈ.'_€Ä_l 'lu.hÄïn 'gÄ_ÄÈ._€Ä»m/","2012",1959,"Woman","Hispanic - New Mexican (Hispanos)","Christian - Roman Catholic","No","Re-elected",65.1,34.9,"58.6",41.4,"59.2",40.8,51.6,35.1,55.3,39.6,59.7,39,46.9,2.4,43.5,2.2,3.5,1.5,32.9,160,46.6,81,49570,320,285170,147250,100132,282195,155915,111749,298305,178068,116302,277967,181088,96879,0,180032,105474,74558,0,162924,112473,686391,288232,16016,329665,14776,24773,12929,523774,245411,12598,227802,11729,18281,7953,4600.14,149.2108935815
"266","NM-02","New Mexico 2nd","Republican","Steve","Pearce","(STEEV PIERCE)","/stiv pÄÈÄ»Ä_s/","2010, 2002-2008",1947,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",37.2,62.7,"35.5",64.4,"40.9",59.1,39.9,50.1,44.9,51.7,48.4,50.2,45.3,1.6,46.9,0.8,4.3,1.1,21,367,30.5,263,41797,399,234095,93363,117211,230391,103438,119168,244530,118400,122705,228813,85232,143514,67,147777,52499,95209,69,92162,133180,686420,275624,10725,355689,5258,30590,8534,508668,230525,8306,238436,4291,21756,5354,71739.49,9.56823083074608
"267","NM-03","New Mexico 3rd","Democratic","Ben Ray","Lujan","(BEN RAY LOO-hahn)","/bÄ_n Ä_eÄÈ 'lu.hÄïn/","2008",1972,"Man","Hispanic - New Mexican (Hispanos)","Christian - Roman Catholic","No","Re-elected",62.4,37.6,"61.5",38.4,"63.1",36.9,51.8,36.7,57.5,38.7,61.2,37.5,43.7,1.3,36.4,1.2,16.1,1.3,27.2,251,42.7,115,49210,324,279053,144621,102323,271171,155982,104871,287324,175953,107825,273342,170612,102730,0,184076,113249,70775,52,167103,97616,686368,269954,8721,268049,7517,120005,12122,508065,221912,6549,185088,5923,81925,6668,44958.52,15.2666947221572
"268","NV-01","Nevada 1st","Democratic","Dina","Titus","(DEE-nuh TIE-tus)","/'di.nÄ» 'taÄÈ.Ä_Ä»s/","2012, 2008-2010",1950,"Woman","White - Non-Hispanic","Christian - Orthodox","No","Re-elected",61.9,28.8,"56.8",37.9,"66.8",33.2,61.6,32.6,65.6,32.4,64.5,33,42.3,9.5,36.5,9,0.5,2.2,15.2,422,19.6,421,38000,423,196840,121321,64233,187686,123205,60813,189190,122041,62527,188352,116537,54174,17641,80299,45643,30413,4243,113967,56521,674442,246051,63635,287756,55478,3099,18423,509371,215645,48217,185912,46076,2538,10983,104.5,6453.99043062201
"269","NV-02","Nevada 2nd","Republican","Mark","Amodei","(MARK AM-uh-day)","/mÄïÄ_k 'í_.mÄ».deÄÈ/","2011 Special",1958,"Man","White - Non-Hispanic","Christian - Protestant","No","Re-elected",36.9,58.3,"27.9",65.7,"38.6",61.4,39.7,52,44.8,52.9,49.4,48.2,73.8,1.7,16.6,4.3,1.8,1.8,25.5,282,28.9,284,58214,194,326011,129318,169631,293476,131542,155187,285982,141357,137916,313336,115722,182676,14938,186210,52016,122402,11792,102019,162213,675971,469069,11684,138087,27912,12641,16578,515125,379952,8925,85495,22255,9378,9120,55829.71,12.1077290209818
"270","NV-03","Nevada 3rd","Democratic","Jacky","Rosen","(JACK-ee ROH-zen)","/'d_Íí_.ki 'Ä_o__.sÄ»n/","2016",1957,"Woman","White - Non-Hispanic","Jewish","No","Open - Ran for Senate and lost",47.2,46,"36.1",60.8,"46",54,46.5,47.5,49.5,48.7,53.5,44.6,64.4,5.9,13.5,13.1,0.4,2.7,31.5,172,32.9,226,68396,108,325602,151552,154815,283656,140501,138238,262257,140378,116908,310963,146869,142926,21168,145719,52644,88528,4547,116823,137244,675469,412783,41181,105955,86223,2751,26576,521733,335885,30810,70493,68194,2170,14181,2848.99,237.090688279004
"271","NV-04","Nevada 4th","Democratic","Ruben","Kihuen","(ROO-bin KEE-wen)","/'Ä_u.bÄÈn 'ki.wÄÈn/","2016",1980,"Man","Hispanic - Mexican","Christian - Roman Catholic","No","Defeated",48.5,44.5,"45.8",48.5,"54.3",45.7,49.5,44.6,54.4,43.7,56.4,41.4,54.7,13.2,23,6,0.8,2.3,20.4,380,24.6,362,55712,221,276932,137070,123380,250100,136124,109330,230420,129961,95477,265846,128985,118328,18533,130781,59844,63466,7471,120501,101261,674669,334178,91558,184703,36890,5045,22295,489314,267816,64558,112634,29330,3771,11205,50997.97,13.2293305008023
"272","NY-01","New York 1st","Republican","Lee","Zeldin","(LEE ZEL-din)","/li 'zÄ_l.dÄÈn/","2014",1980,"Man","White - Non-Hispanic","Jewish","No","Re-elected",41,58.9,"45.5",54.4,"52.5",47.5,42.2,54.5,49.6,49.1,51.4,47.6,80,4.3,11.2,3.3,0.2,1,34.1,138,36.2,181,90435,28,336437,141900,183233,295673,146708,145115,328315,168611,156394,297237,121982,175168,87,172865,78722,94035,108,146179,132304,717177,558724,32109,89960,24029,1735,10620,549345,439385,23385,61325,18374,1304,5572,650.02,1103.31528260669
"273","NY-02","New York 2nd","Republican","Pete","King","(PEET KING)","/pit kÄÈÅ†g/","1992",1944,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",37.5,62.4,"30",68.3,"41.4",58.6,43.9,53,51.6,47.2,51.3,47.9,68.8,8.5,18.5,2.9,0.1,1.1,31.2,175,35.4,187,93362,23,313286,137680,165908,272663,140817,128791,304670,156151,145890,280203,105100,174961,142,139330,41814,95177,2339,100545,142309,718757,475083,64067,146936,20965,1055,10651,546482,376200,46322,101349,15885,753,5973,182.01,3948.99730784023
"274","NY-03","New York 3rd","Democratic","Tom","Suozzi","(TAHM SWAH-zee)","/tÄïm 'swÄï.zi/","2016",1962,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Open - Retired",52.8,47.2,"54.8",45.2,"58.2",41.8,51.6,45.5,50.8,48.2,53.5,45.7,73.9,2.9,9,12.7,0.1,1.4,51.6,23,53.3,43,111504,4,345275,178288,156942,306221,155451,147617,341582,182847,155946,308809,162947,145706,156,164375,90032,74269,74,157880,113203,717864,520046,20752,69966,93704,651,12745,553265,409130,15942,49938,70254,431,7570,254.92,2816.03640357759
"275","NY-04","New York 4th","Democratic","Kathleen","Rice","(KATH-leen RICE)","/'kí_‘Ÿ.lin Ä_aÄÈs/","2014",1965,"Woman","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",59.5,40.4,"52.8",47.1,"65.7",34.3,53.4,43.8,56.3,42.8,55.3,43.9,63.2,13.5,16.5,5.4,0.1,1.3,42.5,60,48.9,69,100178,15,336811,179845,147469,308119,173508,131750,334969,185400,147199,311289,185286,125865,138,170099,89793,80127,179,163955,85693,718843,438618,98985,129190,39499,828,11723,552258,349205,74349,91252,29883,534,7035,110.85,6484.82634190347
"276","NY-05","New York 5th","Democratic","Gregory","Meeks","(GREH-gree MEEKS)","/'gÄ_Ä_.gÄ_i miks/","1998 Special",1953,"Man","Black - African-American","Christian - Methodist","No","Re-elected",85.4,13,"94.9",0,"90.4",9.6,85.7,12.7,90.6,9.1,86.1,13.6,13.1,50.1,17.9,11.4,0.5,7.1,25.5,282,36.9,172,66529,124,246961,211667,31322,212347,192374,19325,240009,206652,32558,233531,199552,30257,3722,79821,75712,0,4109,167836,17875,710048,85259,355785,133873,80160,4151,50820,539006,70612,269874,96565,61389,2543,38023,51.88,13686.3531225906
"277","NY-06","New York 6th","Democratic","Grace","Meng","(GRACE MAYNG)","/gÄ_eÄÈs meÄÈÅ†g/","2012",1975,"Woman","Asian - Chinese","Christian - Protestant","No","Re-elected",72.1,26.7,"98.9",0,"68.7",31.3,65.1,32.1,67.8,31,63.4,35.7,39.7,3.7,17.4,37.1,0.1,2,35.9,122,43.1,110,61956,156,207285,134970,66487,185058,125496,57455,199891,126794,71419,189433,136506,50617,2310,55963,55368,0,595,111501,50846,724580,277856,26223,133838,268850,859,16954,590986,234736,21808,102540,219479,529,11894,29.78,24331.0946944258
