"","district","distlong","party","incfirst","inclast","pronounce","pronounceipa","firstelect","birthyr","gender","race","religion","lgbt","pre16inc","demH16","repH16","demH14","repH14","dem2p12","rep2p12","clinton16","trump16","obama12","romney12","obama08","mccain08","cens10white","cens10black","cens10latino","cens10aapi","cens10native","cens10other","acs16ba","acs16barank","acs16whiteba","acs16whitebarank","medinc","incrank","popvote16","hrcvote16","djtvote16","popvote12","bhovote12","mrvote12","popvote08","bhovote08","jmvote08","popHvote16","demHvote16","repHvote16","otherHvote16","popHvote14","demHvote14","repHvote14","otherHvote14","demH2p12","repH2p12","pop","popWhite","popBlack","popLatino","popAAPI","popNative","popOther","vap","vapWhite","vapBlack","vapLatino","vapAAPI","vapNative","vapOther","land.area","popdens"
"21","AZ-09","Arizona 9th","Democratic","Kyrsten","Sinema","(KEER-sten SIN-eh-muh)","/'kÄÈÄ»Ä_.stÄ_n 'sÄÈ.nÄ_.mÄ»/","2012",1976,"Woman","White - Non-Hispanic","Unaffiliated","Bisexual","Re-elected",60.9,39,"54.7",41.9,"52.2",47.8,54.7,38.4,51.1,46.6,51.3,47.4,64.4,4.7,22.4,4.5,2.3,1.7,37.5,98,44.7,94,55349,226,283863,155158,109123,264563,135244,123263,274042,140546,129894,277507,169055,108350,102,162062,88609,67841,5612,121881,111630,710224,419811,34377,191017,30781,17644,16594,549718,353803,25721,123390,24795,12553,9456,164.79,4309.87317191577
"22","CA-01","California 1st","Republican","Doug","LaMalfa","(DUHG luh-MAL-fuh)","/d_ëg lÄ».'mí_l.fÄ»/","2012",1960,"Man","White - Non-Hispanic","Christian - Protestant","No","Re-elected",40.9,59.1,"39",61,"42.6",57.4,36.5,56.2,40.3,56.6,44,56,82.1,1.3,9.9,2.3,1.8,2.6,23.7,319,25.7,342,47488,345,313968,114727,176358,303928,122379,171902,316882,139522,177360,314036,128588,185448,0,216372,84320,132052,0,125386,168827,704304,556527,9075,84890,17617,13263,22932,555171,455854,7455,55094,12852,9745,14171,28089.47,25.0735951942133
"23","CA-02","California 2nd","Democratic","Jared","Huffman","(JAIR-ed HUHF-muhn)","/'d_ÍÄ_.Ä_Ä_d 'h_ëf.mÄ»n/","2012",1964,"Man","White - Non-Hispanic","Unknown","No","Re-elected",76.9,23.1,"75",25,"71.2",28.8,69,23.3,69,27,73.7,26.3,76.2,1.7,14.1,3.6,1.9,2.5,40.8,74,45.9,87,66604,123,344971,238157,80545,333442,230212,89908,346706,255585,91121,330766,254194,76572,0,217524,163124,54400,0,226216,91310,701504,510654,11090,116747,24899,14751,23363,554173,422538,9268,78130,19890,10399,13948,12952.23,54.1608665071575
"24","CA-03","California 3rd","Democratic","John","Garamendi","(JAHN gair-uh-MEN-dee)","/d_ÍÄïn èëgÄ_.Ä_Ä».'mÄ_n.di/","2009 Special",1945,"Man","White - Non-Hispanic","Christian - Protestant","No","Re-elected",59.4,40.6,"52.7",47.3,"54.2",45.8,53,40.4,54.3,43.1,56.1,43.9,55.1,6,23.6,11.2,0.9,3.3,25.1,290,28.5,292,61508,163,262086,138882,105860,241687,131237,104145,248574,139554,109020,256966,152513,104453,0,150260,79224,71036,0,126882,107086,702044,356604,40957,194579,73565,6199,30140,525021,289176,31514,123713,58628,4659,17331,6183.59,113.533400500357
"25","CA-04","California 4th","Republican","Tom","McClintock","(TAHM mu-KLIN-tahk)","/tÄïm mÄ».'klÄÈn.tÄïk/","2008",1956,"Man","White - Non-Hispanic","Christian - Baptist","No","Re-elected",37.3,62.7,"0",100,"38.9",61.1,39.3,54,39.5,57.9,44.5,55.5,81,1.2,10.4,4,1,2.3,33.3,156,33.7,210,74074,73,353388,138790,190924,337634,133473,195386,337328,149979,187349,350978,130845,220133,0,211134,0,211134,0,125885,197803,701728,548837,8267,86784,28965,7314,21561,543649,440426,6626,56547,21935,5584,12531,12836.2,54.6678923668999
"26","CA-05","California 5th","Democratic","Mike","Thompson","(MIKE TAHMP-suhn)","/maÄÈk 'tÄïmp.sÄ»n/","1998",1951,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",76.9,23.1,"75.7",0,"74.5",25.5,69.2,24.3,69.7,27.5,72.5,27.5,57.8,6.2,21.5,11.3,0.6,2.6,31.2,175,37.5,164,73006,77,305052,210950,74088,286658,199924,78703,297778,215794,81984,292091,224526,67565,0,171148,129613,0,41535,202872,69545,706154,373331,45269,181046,77273,4349,24886,547233,316081,34010,117611,61790,3388,14353,1730.82,407.988121237333
"27","CA-06","California 6th","Democratic","Doris","Matsui","(DOR-iss matt-SOO-ee)","/'dÄî.Ä_ÄÈs mí_t.'su.i/","2005 Special",1944,"Woman","Asian - Japanese","Christian - Methodist","No","Re-elected",75.4,24.6,"72.7",27.3,"75.1",24.9,69.2,24.4,69.1,28.3,69.8,30.2,43.7,12.1,23.3,16.4,0.6,3.7,27.5,248,36.6,175,51932,268,243910,168687,59549,225831,156141,63862,233485,162876,70609,235413,177565,57848,0,133456,97008,36448,0,160667,53406,702413,272613,88367,189643,113647,4236,33907,520901,227625,63260,121584,85552,3357,19523,175.04,4012.87134369287
"28","CA-07","California 7th","Democratic","Ami","Bera","(AH-mee BEAR-uh)","/'Äï.mi 'bÄ_.Ä_Ä»/","2012",1965,"Man","Asian - Indian","Unitarian Universalist","No","Re-elected",51.2,48.8,"50.4",49.6,"51.7",48.3,52.3,40.9,50.8,46.8,52.7,47.3,61.4,7,13.6,14.1,0.5,3.3,32.9,160,34.1,201,68735,106,304118,159066,124249,285997,145147,133888,289764,152833,136931,297301,152133,145168,0,183587,92521,91066,0,141241,132050,698200,400468,51089,112087,99245,3575,31736,521668,320465,36698,71114,73359,2796,17236,548.65,1272.57814635925
"29","CA-08","California 8th","Republican","Paul","Cook","(PAWL COOK)","/pÄîl k__k/","2012",1943,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",37.7,62.3,"32.4",67.6,"0",100,39.6,54.7,41.7,55.6,43.5,56.5,56,7.1,30.3,3.5,1.1,2.2,17.1,411,20.6,412,49194,325,232835,92234,127464,212633,88579,118278,215336,93727,121609,220007,83035,136972,0,114536,37056,77480,0,0,179644,704301,352877,53306,249040,22288,6914,19876,504172,282090,35578,152682,17547,5367,10908,32867.21,21.4286822641776
"30","CA-09","California 9th","Democratic","Jerry","McNerney","(JAIR-ee mick-NER-nee)","/'d_ÍÄ_.Ä_i mÄÈk.'nÄìÄ_.ni/","2006",1951,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",57.4,42.6,"52.4",47.6,"55.6",44.4,56.6,38,57.8,40.1,58,42,42,8.1,32.6,14.2,0.5,2.7,19.1,400,24.4,367,61454,164,238191,134719,90484,220312,127418,88403,215574,125050,90524,232155,133163,98992,0,121204,63475,57729,0,118373,94704,702985,259204,58406,261012,96447,3180,24736,498183,209238,40215,162433,70555,2460,13282,1245.28,564.519626108185
